Study,Authors,Year (online),Year (print),Title,Journal,Pub year IF,2017 IF,Species,Climate (FishBase),Env cue/stimulus?,Cue/stimulus type,Behavioural metric,Life stage,|lnRR|,Raw RR,OA as Percent of Control,...18
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change bite rate, predator, Fig2",Larvae,0.1586,1.1719,85.334,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Kin,"Mean change bite rate, goby, Fig2",Larvae,2.3972,10.9924,9.097,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,No,null,"Mean change bite rate, empty bag, Fig2",Larvae,NA,NA,NA,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change activity, predator, Fig2",Larvae,0.1593,1.1727,85.274,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Kin,"Mean change activity, goby, Fig2",Larvae,1.0414,2.8332,35.296,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,No,null,"Mean change activity, empty bag, Fig2",Larvae,0.3023,1.353,73.912,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change shelter use, predator, Fig2",Larvae,0.9406,2.5615,39.039,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Kin,"Mean change shelter use, goby, Fig2",Larvae,NA,NA,NA,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,No,null,"Mean change shelter use, empty bag, Fig2",Larvae,NA,NA,NA,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change bite rate, skin, Fig3",Larvae,2.1482,8.5694,11.669,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change bite rate, predator, Fig3",Larvae,0.1474,1.1588,86.295,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change bite rate, combo, Fig3",Larvae,0.3365,1.4,71.427,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change activity, skin, Fig3",Larvae,2.5386,12.6619,7.898,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change activity, predator, Fig3",Larvae,0.1671,1.1819,84.611,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change activity, combo, Fig3",Larvae,0.4266,1.532,65.272,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change shelter use, skin, Fig3",Larvae,2.708,14.9992,6.667,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change shelter use, predator, Fig3",Larvae,0.9593,2.6099,38.316,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change shelter use, combo, Fig3",Larvae,0.9163,2.5,40,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Number of bobbing events, skin extract",Larvae,8.4316,4589.838,0.022,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Number of bobbing events, predator",Larvae,2.5006,12.1898,8.204,NA
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,Pomacentrus amboinensis,Trop,Yes,Predator,"Number of bobbing events, combo",Larvae,1.9379,6.9442,14.401,NA
a23,McCormick et al,2013,2013,Ocean acidification reverses competition for space as habitats degrade,Sci Rep,5.078,4.122,Pomacentrus moluccensis,Trop,Yes,Shelter,Distance ventured from shelter,Larvae,0.1386,1.1487,87.058,NA
a23,McCormick et al,2013,2013,Ocean acidification reverses competition for space as habitats degrade,Sci Rep,5.078,4.122,Pomacentrus amboinensis,Trop,Yes,Shelter,Distance ventured from shelter,Larvae,1.3173,3.7333,26.786,NA
a23,McCormick et al,2013,2013,Ocean acidification reverses competition for space as habitats degrade,Sci Rep,5.078,4.122,Pomacentrus moluccensis,Trop,Yes,Shelter,Height rank,Larvae,0.2326,1.2619,79.247,NA
a23,McCormick et al,2013,2013,Ocean acidification reverses competition for space as habitats degrade,Sci Rep,5.078,4.122,Pomacentrus amboinensis,Trop,Yes,Shelter,Height rank,Larvae,0.4874,1.6281,61.422,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Predator,"% time in cue, 570 uatm, Day 4",Juvenile,0.4895,1.6315,61.293,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Predator,"% time in cue, 700 uatm, Day 4",Juvenile,2.0183,7.5255,13.288,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Predator,"% time in cue, 960 uatm, Day 4",Juvenile,2.6831,14.6304,6.835,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Predator,"% time in cue, 570 uatm, Day 28",Juvenile,0.1644,1.1787,84.84,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Predator,"% time in cue, 700 uatm, Day 28",Juvenile,1.6376,5.1428,19.445,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Predator,"% time in cue, 960 uatm, Day 28",Juvenile,2.2919,9.8937,10.107,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Shelter,"% time hiding, 570 uatm",Juvenile,0.0628,1.0648,93.913,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Shelter,"% time hiding, 700 uatm",Juvenile,0.7019,2.0176,49.564,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Shelter,"% time hiding, 960 uatm",Juvenile,2.1799,8.8454,11.305,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Shelter,"Mean line crosses, 570 uatm",Juvenile,0.6931,1.9999,50.002,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Shelter,"Mean line crosses, 700 uatm",Juvenile,2.1972,8.9998,11.111,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Shelter,"Mean line crosses, 960 uatm",Juvenile,4.1666,64.4958,1.55,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Shelter,"Distance from shelter, 570 uatm",Juvenile,0.7841,2.1904,45.653,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Shelter,"Distance from shelter, 700 uatm",Juvenile,1.5606,4.7617,21.001,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Shelter,"Distance from shelter, 960 uatm",Juvenile,1.7512,5.7615,17.357,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Shelter,"Emergence time from hiding, 570 uatm",Juvenile,0.069,1.0714,93.333,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Shelter,"Emergence time from hiding, 700 uatm",Juvenile,0.3365,1.4,71.427,NA
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,Plectropomus leopardus,Trop,Yes,Shelter,"Emergence time from hiding, 960 uatm",Juvenile,1.674,5.3335,18.75,NA
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Response distance, ctrl-high",Juvenile,0.3166,1.3725,72.862,NA
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Response distance, high-high",Juvenile,0.1053,1.111,90.005,NA
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Mean speed, ctrl-high",Juvenile,0.3067,1.3589,73.587,NA
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Mean speed, high-high",Juvenile,0.0908,1.095,91.32,NA
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Maximum speed, ctrl-high",Juvenile,0.3041,1.3554,73.779,NA
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Maximum speed, high-high",Juvenile,0.0661,1.0683,93.604,NA
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Response duration, ctrl-high",Juvenile,0.4407,1.5538,64.359,NA
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Response duration, high-high",Juvenile,0.2195,1.2455,80.292,NA
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Response latency, ctrl-high",Juvenile,0.0253,1.0256,97.502,NA
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Response latency, high-high",Juvenile,0.0785,1.0817,92.45,NA
a26,Bignami et al,2014,2014,"Effects of ocean acidification on the larvae of a high-value pelagic fisheries species, mahi-mahi Coryphaena hippurus",Mar Ecol Prog Ser,2.619,2.276,Coryphaena hippurus,Subtrop,No,null,"Max velocity, 770 uatm",Larvae,0.1532,1.1656,85.796,NA
a26,Bignami et al,2014,2014,"Effects of ocean acidification on the larvae of a high-value pelagic fisheries species, mahi-mahi Coryphaena hippurus",Mar Ecol Prog Ser,2.619,2.276,Coryphaena hippurus,Subtrop,No,null,"Max velocity, 1460 uatm",Larvae,0.257,1.293,77.337,NA
a26,Bignami et al,2014,2014,"Effects of ocean acidification on the larvae of a high-value pelagic fisheries species, mahi-mahi Coryphaena hippurus",Mar Ecol Prog Ser,2.619,2.276,Coryphaena hippurus,Subtrop,No,null,"Mean velocity, 770 uatm",Larvae,0.1553,1.168,85.616,NA
a26,Bignami et al,2014,2014,"Effects of ocean acidification on the larvae of a high-value pelagic fisheries species, mahi-mahi Coryphaena hippurus",Mar Ecol Prog Ser,2.619,2.276,Coryphaena hippurus,Subtrop,No,null,"Mean velocity, 1460 uatm",Larvae,0.2352,1.2652,79.041,NA
a27,Chivers et al,2013,2014,Impaired learning of predators and lower prey survival under elevated CO2: a consequence of neurotransmitter interference,Glob Change Biol,8.224,8.997,Pomacentrus amboinensis,Trop,No,null,"Prop change line crosses, Day 1, sham",Juvenile,NA,NA,NA,NA
a27,Chivers et al,2013,2014,Impaired learning of predators and lower prey survival under elevated CO2: a consequence of neurotransmitter interference,Glob Change Biol,8.224,8.997,Pomacentrus amboinensis,Trop,No,null,"Prop change feeding strikes, Day 1, sham",Juvenile,NA,NA,NA,NA
a27,Chivers et al,2013,2014,Impaired learning of predators and lower prey survival under elevated CO2: a consequence of neurotransmitter interference,Glob Change Biol,8.224,8.997,Pomacentrus amboinensis,Trop,Yes,Predator,"Prop change line crosses, Day 1, predator",Juvenile,1.3915,4.0209,24.87,NA
a27,Chivers et al,2013,2014,Impaired learning of predators and lower prey survival under elevated CO2: a consequence of neurotransmitter interference,Glob Change Biol,8.224,8.997,Pomacentrus amboinensis,Trop,Yes,Predator,"Prop change feeding strikes, Day 1, predator",Juvenile,1.731,5.6463,17.711,NA
a27,Chivers et al,2013,2014,Impaired learning of predators and lower prey survival under elevated CO2: a consequence of neurotransmitter interference,Glob Change Biol,8.224,8.997,Pomacentrus amboinensis,Trop,No,null,"Prop change line crosses, Day 5, sham",Juvenile,NA,NA,NA,NA
a27,Chivers et al,2013,2014,Impaired learning of predators and lower prey survival under elevated CO2: a consequence of neurotransmitter interference,Glob Change Biol,8.224,8.997,Pomacentrus amboinensis,Trop,No,null,"Prop change feeding strikes, Day 5, sham",Juvenile,0.7167,2.0477,48.836,NA
a27,Chivers et al,2013,2014,Impaired learning of predators and lower prey survival under elevated CO2: a consequence of neurotransmitter interference,Glob Change Biol,8.224,8.997,Pomacentrus amboinensis,Trop,Yes,Predator,"Prop change line crosses, Day 5, predator",Juvenile,1.9592,7.0936,14.097,NA
a27,Chivers et al,2013,2014,Impaired learning of predators and lower prey survival under elevated CO2: a consequence of neurotransmitter interference,Glob Change Biol,8.224,8.997,Pomacentrus amboinensis,Trop,Yes,Predator,"Prop change feeding strikes, Day 5, predator",Juvenile,3.3064,27.2867,3.665,NA
a28,Domenici et al,2014,2014,Shifting from Right to Left: The Combined Effect of Elevated CO2 and Temperature on Behavioural Lateralization in a Coral Reef Fish,PLOS One,3.234,2.766,Pomacentrus wardi,Trop,No,null,Absolute lateralization,Larvae,0.1266,1.135,88.109,NA
a29,Green & Jutfelt,2014,2014,Elevated carbon dioxide alters the plasma composition and behaviour of a shark,Biol Lett,3.248,3.345,Scyliorhinus canicula,Subtrop,No,null,Absolute lateralization,Adult,0.7331,2.0815,48.042,NA
a29,Green & Jutfelt,2014,2014,Elevated carbon dioxide alters the plasma composition and behaviour of a shark,Biol Lett,3.248,3.345,Scyliorhinus canicula,Subtrop,No,null,No. swimming events,Adult,0.7365,2.0886,47.879,NA
a30,Hamilton et al,2013,2014,CO2-induced ocean acidification increases anxiety in Rockfish via alteration of GABAA receptor functioning,Proc R Soc B,5.292,4.847,Sebastes diploproa,Deep,Yes,Shelter,% time in dark zone,Juvenile,0.4949,1.6403,60.963,NA
a30,Hamilton et al,2013,2014,CO2-induced ocean acidification increases anxiety in Rockfish via alteration of GABAA receptor functioning,Proc R Soc B,5.292,4.847,Sebastes diploproa,Deep,Yes,Shelter,Time near object,Juvenile,0.5257,1.6916,59.114,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Dascyllus aruanus,Trop,Yes,Predator,% time in predator cue (Fig 1a),Juvenile,13.7928,977545.3856,0,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Pomacentrus moluccensis,Trop,Yes,Predator,% time in predator cue (Fig 1a),Juvenile,13.7166,905823.7231,0,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Apogon cyanosoma,Trop,Yes,Predator,% time in predator cue (Fig 1a),Juvenile,13.7602,946191.2551,0,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Cheilodipterus quinquelineatus,Trop,Yes,Predator,% time in predator cue (Fig 1a),Juvenile,13.802,986580.3,0,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Dascyllus aruanus,Trop,Yes,Physical Seawater,% time in control cue (Fig 1b),Juvenile,0.66,1.9348,51.685,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Pomacentrus moluccensis,Trop,Yes,Physical Seawater,% time in control cue (Fig 1b),Juvenile,0.6201,1.8591,53.789,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Apogon cyanosoma,Trop,Yes,Physical Seawater,% time in control cue (Fig 1b),Juvenile,0.6185,1.8561,53.875,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Cheilodipterus quinquelineatus,Trop,Yes,Physical Seawater,% time in control cue (Fig 1b),Juvenile,0.5901,1.8042,55.427,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Dascyllus aruanus,Trop,Yes,Habitat,% time in benthic control (Fig 1c),Juvenile,0.6291,1.8759,53.307,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Pomacentrus moluccensis,Trop,Yes,Habitat,% time in benthic control (Fig 1c),Juvenile,0.6131,1.8461,54.167,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Apogon cyanosoma,Trop,Yes,Habitat,% time in benthic control (Fig 1c),Juvenile,0.5725,1.7727,56.411,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Cheilodipterus quinquelineatus,Trop,Yes,Habitat,% time in benthic control (Fig 1c),Juvenile,0.604,1.8294,54.662,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Dascyllus aruanus,Trop,Yes,Shelter,Mean % time in shelter,Juvenile,2.3513,10.4992,9.525,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Pomacentrus moluccensis,Trop,Yes,Shelter,Mean % time in shelter,Juvenile,2.6311,13.889,7.2,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Apogon cyanosoma,Trop,Yes,Shelter,Mean % time in shelter,Juvenile,13.6459,843993.4391,0,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Cheilodipterus quinquelineatus,Trop,Yes,Shelter,Mean % time in shelter,Juvenile,13.5941,801387.5967,0,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Dascyllus aruanus,Trop,Yes,Shelter,Mean line crosses,Juvenile,1.1686,3.2175,31.08,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Pomacentrus moluccensis,Trop,Yes,Shelter,Mean line crosses,Juvenile,1.5405,4.6669,21.427,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Apogon cyanosoma,Trop,Yes,Shelter,Mean line crosses,Juvenile,2.2482,9.4707,10.559,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Cheilodipterus quinquelineatus,Trop,Yes,Shelter,Mean line crosses,Juvenile,1.6362,5.1356,19.472,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Dascyllus aruanus,Trop,Yes,Shelter,Max distance from shelter,Juvenile,0.8027,2.2316,44.812,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Pomacentrus moluccensis,Trop,Yes,Shelter,Max distance from shelter,Juvenile,0.7349,2.0853,47.955,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Apogon cyanosoma,Trop,Yes,Shelter,Max distance from shelter,Juvenile,0.9234,2.5178,39.717,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Cheilodipterus quinquelineatus,Trop,Yes,Shelter,Max distance from shelter,Juvenile,1.1497,3.1572,31.673,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Dascyllus aruanus,Trop,Yes,Shelter,Time to emerge from shelter,Juvenile,1.4935,4.4527,22.459,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Pomacentrus moluccensis,Trop,Yes,Shelter,Time to emerge from shelter,Juvenile,1.6096,5.0008,19.997,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Apogon cyanosoma,Trop,Yes,Shelter,Time to emerge from shelter,Juvenile,1.6645,5.283,18.929,NA
a31,Munday et al,2014,2014,Behavioural impairment in reef fishes caused by ocean acidification at CO2 seeps,Nat Clim Change,14.547,19.181,Cheilodipterus quinquelineatus,Trop,Yes,Shelter,Time to emerge from shelter,Juvenile,2.14,8.4994,11.765,NA
a32,Pimentel et al,2014,2014,Impact of ocean acidification in the metabolism and swimming behavior of the dolphinfish (Coryphaena hippurus) early larvae,Mar Biol,2.391,2.215,Coryphaena hippurus,Subtrop,No,null,Swimming duration,Larvae,0.6822,1.9782,50.55,NA
a32,Pimentel et al,2014,2014,Impact of ocean acidification in the metabolism and swimming behavior of the dolphinfish (Coryphaena hippurus) early larvae,Mar Biol,2.391,2.215,Coryphaena hippurus,Subtrop,No,null,% active,Larvae,0.674,1.9621,50.967,NA
a32,Pimentel et al,2014,2014,Impact of ocean acidification in the metabolism and swimming behavior of the dolphinfish (Coryphaena hippurus) early larvae,Mar Biol,2.391,2.215,Coryphaena hippurus,Subtrop,No,null,Orientation frequency,Larvae,0.9842,2.6757,37.374,NA
a33,Welch et al,2014,2014,Effects of elevated CO2 on fish behaviour undiminished by transgenerational acclimation,Nat Clim Change,14.547,19.181,Acanthochromis polyacanthus,Trop,Yes,Predator,"% time in cue, Mid CO2, ctrl parents",Juvenile,1.6188,5.047,19.814,NA
a33,Welch et al,2014,2014,Effects of elevated CO2 on fish behaviour undiminished by transgenerational acclimation,Nat Clim Change,14.547,19.181,Acanthochromis polyacanthus,Trop,Yes,Predator,"% time in cue, High CO2, ctrl parents",Juvenile,1.9636,7.1249,14.035,NA
a33,Welch et al,2014,2014,Effects of elevated CO2 on fish behaviour undiminished by transgenerational acclimation,Nat Clim Change,14.547,19.181,Acanthochromis polyacanthus,Trop,Yes,Predator,"% time in cue, Mid CO2, mid parents",Juvenile,1.5798,4.854,20.602,NA
a33,Welch et al,2014,2014,Effects of elevated CO2 on fish behaviour undiminished by transgenerational acclimation,Nat Clim Change,14.547,19.181,Acanthochromis polyacanthus,Trop,Yes,Predator,"% time in cue, High CO2, mid parents",Juvenile,1.9033,6.708,14.908,NA
a33,Welch et al,2014,2014,Effects of elevated CO2 on fish behaviour undiminished by transgenerational acclimation,Nat Clim Change,14.547,19.181,Acanthochromis polyacanthus,Trop,Yes,Predator,"% time in cue, Mid CO2, high parents",Juvenile,1.5269,4.6039,21.721,NA
a33,Welch et al,2014,2014,Effects of elevated CO2 on fish behaviour undiminished by transgenerational acclimation,Nat Clim Change,14.547,19.181,Acanthochromis polyacanthus,Trop,Yes,Predator,"% time in cue, High CO2, high parents",Juvenile,1.9033,6.708,14.908,NA
