"dataset_id","source","source_pkg","source_object","source_title","repo","branch","repo_license","k","measure","n_mods","moderators","signature"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_msmt_fit_pEsts.csv","GitHub","lhbikos","Worked_Examples/msmt_fit_pEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/msmt_fit_pEsts.csv","ReC_Psychometrics","main",NA,54,"est",16,"x|lhs|op|rhs|est|pval|confint|est_sig|est_std|se_std|pval_std|confint_std|est_sig_std|label|precision|abs_yi","5e03f3ebfe25bcad"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_ReC_struct_pEsts1.csv","GitHub","lhbikos","Worked_Examples/ReC_struct_pEsts1.csv","lhbikos / ReC_Psychometrics / Worked_Examples/ReC_struct_pEsts1.csv","ReC_Psychometrics","main",NA,51,"est",16,"x|lhs|op|rhs|est|pval|confint|est_sig|est_std|se_std|pval_std|confint_std|est_sig_std|label|precision|abs_yi","fa25583de1561c73"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_secondF_paramEsts.csv","GitHub","lhbikos","Worked_Examples/secondF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/secondF_paramEsts.csv","ReC_Psychometrics","main",NA,31,"est",16,"x|lhs|op|rhs|est|pval|confint|est_sig|est_std|se_std|pval_std|confint_std|est_sig_std|label|precision|abs_yi","75e3978c5fc03027"
"gh_valadeAude_RShinyGit_initData_forestPlotData.driverC.csv","GitHub","valadeAude","initData/forestPlotData.driverC.csv","valadeAude / RShinyGit / initData/forestPlotData.driverC.csv","RShinyGit","main","GPL-3.0",13,"estimate",15,"x|split|driver1cat|estimate|tval|pval|cilb|ciub|nrec|nstud|signif|color|substitution|precision|abs_yi","e9fcea81340462b6"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","GitHub","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv","Bees","main","GPL-3.0",40,"from_dataset",14,"id_code|bee_species|exposure_type|pesticide_applied|hours_after_exposure|bee_stage|ter|cer|rare_ctrl|risk_diff0|ntotal|log_ntotal|precision|abs_yi","0ad0937feaf4c055"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_corrF_paramEsts.csv","GitHub","lhbikos","Worked_Examples/corrF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/corrF_paramEsts.csv","ReC_Psychometrics","main",NA,30,"est",14,"x|lhs|op|rhs|est|confint|est_sig|est_std|se_std|confint_std|est_sig_std|label|precision|abs_yi","5cf81373f8c41b68"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_uniDfit_paramEsts.csv","GitHub","lhbikos","Worked_Examples/uniDfit_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/uniDfit_paramEsts.csv","ReC_Psychometrics","main",NA,25,"est",14,"x|lhs|op|rhs|est|confint|est_sig|est_std|se_std|confint_std|est_sig_std|label|precision|abs_yi","dffb4a60891abdd3"
"gh_esradm_DrosEU_PhenotypingWG_MetaAnalyses_all_models_pop_meta_compound_estimates.csv","GitHub","esradm","MetaAnalyses/all_models_pop_meta_compound_estimates.csv","esradm / DrosEU_PhenotypingWG / MetaAnalyses/all_models_pop_meta_compound_estimates.csv","DrosEU_PhenotypingWG","main",NA,306,"estimate",13,"models|trait|sex|population|estimate|llest|ulest|q|p|n_lab|n_lab_av|precision|abs_yi","adbb49797eae5d8f"
"gh_baumlab_2021NAmericanHeatwave_data_tidy_data_fig3_effectsizes.csv","GitHub","baumlab","data/tidy_data/fig3/effectsizes.csv","baumlab / 2021NAmericanHeatwave / data/tidy_data/fig3/effectsizes.csv","2021NAmericanHeatwave","main",NA,41,"from_dataset",11,"x|study_id|response_units|region|movement|samp_control|samp_treatment|genus_species|impact|precision|abs_yi","d6e38108d6226a55"
"gh_CKita_Bees_Effect_sizes_Hedges_continuous_Results_effect_sizes_cont.csv","GitHub","CKita","Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","CKita / Bees / Effect_sizes_Hedges/continuous/Results/effect_sizes_cont.csv","Bees","main","GPL-3.0",16,"from_dataset",11,"id_code|total_sample_size|sample_size_control|sample_size_treatment|statistic|value|effect_type|plant_specie|pesticide_effect|precision|abs_yi","94a1b3de7fd9db48"
"gh_AgrDataSci_Data_Synthesis_Musa_Trials_BLSD_output_node_3_summ.csv","GitHub","AgrDataSci","output/node_3_summ.csv","AgrDataSci / Data_Synthesis_Musa_Trials_BLSD / output/node_3_summ.csv","Data_Synthesis_Musa_Trials_BLSD","main",NA,10,"estimate",10,"items|estimate|z_value|p_value|quasise|quasivar|reliability|rel_se|precision|abs_yi","827bd602286e3fd6"
"gh_bpeng4_Teosinte_Landrace_Cache_GWAS_Holdemanella.GLM_signals.csv","GitHub","bpeng4","Cache/GWAS/Holdemanella.GLM_signals.csv","bpeng4 / Teosinte_Landrace / Cache/GWAS/Holdemanella.GLM_signals.csv","Teosinte_Landrace","main",NA,743,"effect",10,"snp|chrom|pos|ref|alt|maf|effect|holdemanellaglm|precision|abs_yi","fa8b167d7eaa34ef"
"gh_bpeng4_Teosinte_Landrace_Cache_GWAS_Phascolarctobacterium.GLM_signals.csv","GitHub","bpeng4","Cache/GWAS/Phascolarctobacterium.GLM_signals.csv","bpeng4 / Teosinte_Landrace / Cache/GWAS/Phascolarctobacterium.GLM_signals.csv","Teosinte_Landrace","main",NA,150,"effect",10,"snp|chrom|pos|ref|alt|maf|effect|phascolarctobacteriumglm|precision|abs_yi","7c98817c1230c7c4"
"gh_eelabfiu_Bonaire_memory_Tables_TableS6_Performance_LM_Results.csv","GitHub","eelabfiu","Tables/TableS6_Performance_LM_Results.csv","eelabfiu / Bonaire_memory / Tables/TableS6_Performance_LM_Results.csv","Bonaire_memory","main",NA,42,"estimate",10,"timepoint|response|predictor|estimate|df|t|p|etasq|precision|abs_yi","eabecb6a6b5e90ef"
"gh_kragomaster_Krag_MA_qsexG2home.csv","GitHub","kragomaster","qsexG2home.csv","kragomaster / Krag_MA / qsexG2home.csv","Krag_MA","main",NA,18,"estimate",10,"x|team|estimate|quasise|quasivar|stderror|zvalue|prz|precision|abs_yi","cd7b0a2ccadd75bf"
"gh_kragomaster_Krag_MA_qsexG2teamhome.csv","GitHub","kragomaster","qsexG2teamhome.csv","kragomaster / Krag_MA / qsexG2teamhome.csv","Krag_MA","main",NA,18,"estimate",10,"x|team|estimate|quasise|quasivar|stderror|zvalue|prz|precision|abs_yi","130f0dc8e7973111"
"gh_neurothew_exploring-homonym-rep-in-llm_statistics_results_df_en_model_diff_on_best_dscore.csv","GitHub","neurothew","statistics/results/df_en_model_diff_on_best_dscore.csv","neurothew / exploring-homonym-rep-in-llm / statistics/results/df_en_model_diff_on_best_dscore.csv","exploring-homonym-rep-in-llm","main","MIT",190,"estimate",10,"modela|modelb|contrast|estimate|df|tratio|pvalue|pvaluesignif|precision|abs_yi","e60ef20ee56e9ab0"
"gh_phuse-org_CSRMLW_mixed_models_R_output_12JUL2021_pair_diff.csv","GitHub","phuse-org","mixed_models/R_output/12JUL2021/pair_diff.csv","phuse-org / CSRMLW / mixed_models/R_output/12JUL2021/pair_diff.csv","CSRMLW","main","MIT",972,"estimate",10,"paramcd|corr|contrast|visit|estimate|df|lowercl|uppercl|precision|abs_yi","f6f42deb6a860903"
"gh_1stfrom_F2G_GWAS_report_highdens_GWAS_result_GWAS_highdens_orig_results_Grain_Moisture.FarmCPU_signals.csv","GitHub","1stfrom","GWAS_result/GWAS_highdens/orig_results/Grain_Moisture.FarmCPU_signals.csv","1stfrom / F2G_GWAS_report_highdens / GWAS_result/GWAS_highdens/orig_results/Grain_Moisture.FarmCPU_signals.csv","F2G_GWAS_report_highdens","main",NA,27,"effect",9,"snp|chrom|pos|ref|alt|effect|grain_moisturefarmcpu|precision|abs_yi","1b908c835771b372"
"gh_1stfrom_F2G_GWAS_report_highdens_GWAS_result_GWAS_highdens_orig_results_Silk_DAP_days.FarmCPU_signals.csv","GitHub","1stfrom","GWAS_result/GWAS_highdens/orig_results/Silk_DAP_days.FarmCPU_signals.csv","1stfrom / F2G_GWAS_report_highdens / GWAS_result/GWAS_highdens/orig_results/Silk_DAP_days.FarmCPU_signals.csv","F2G_GWAS_report_highdens","main",NA,10,"effect",9,"snp|chrom|pos|ref|alt|effect|silk_dap_daysfarmcpu|precision|abs_yi","df43eeac588f63c1"
"gh_Brodinlab_newborn-seeding-reaction_output_cytof_gee_cytof.csv","GitHub","Brodinlab","output/cytof/gee_cytof.csv","Brodinlab / newborn-seeding-reaction / output/cytof/gee_cytof.csv","newborn-seeding-reaction","main",NA,72,"estimate",9,"x|protein|variable|estimate|pval|agegroup|pstars|precision|abs_yi","68973726cf9616cd"
"gh_GenXu1_Nitrogen_project_profiling_07GWAS_IN_NAM_rMVP_Results_signals_ChlorophyllA_Blup.FarmCPU_signals.csv","GitHub","GenXu1","profiling/07GWAS_IN_NAM/rMVP/Results/signals/ChlorophyllA_Blup.FarmCPU_signals.csv","GenXu1 / Nitrogen_project / profiling/07GWAS_IN_NAM/rMVP/Results/signals/ChlorophyllA_Blup.FarmCPU_signals.csv","Nitrogen_project","main","GPL-3.0",12,"effect",9,"snp|chrom|pos|ref|alt|effect|chlorophylla_blupfarmcpu|precision|abs_yi","1aebc568a1d3fb11"
"gh_GenXu1_Nitrogen_project_profiling_07GWAS_IN_NAM_rMVP_Results_signals_Fructose_Blup.FarmCPU_signals.csv","GitHub","GenXu1","profiling/07GWAS_IN_NAM/rMVP/Results/signals/Fructose_Blup.FarmCPU_signals.csv","GenXu1 / Nitrogen_project / profiling/07GWAS_IN_NAM/rMVP/Results/signals/Fructose_Blup.FarmCPU_signals.csv","Nitrogen_project","main","GPL-3.0",12,"effect",9,"snp|chrom|pos|ref|alt|effect|fructose_blupfarmcpu|precision|abs_yi","c7345f05b787f32e"
"gh_jdavis-132_phyllotaxy_Data_signals_am_92.FarmCPU_signals.csv","GitHub","jdavis-132","Data/signals/am_92.FarmCPU_signals.csv","jdavis-132 / phyllotaxy / Data/signals/am_92.FarmCPU_signals.csv","phyllotaxy","main",NA,8,"effect",9,"snp|chrom|pos|ref|alt|effect|am_92farmcpu|precision|abs_yi","eca57b39e1a703d3"
"gh_jdavis-132_phyllotaxy_Data_signals_am3_82.FarmCPU_signals.csv","GitHub","jdavis-132","Data/signals/am3_82.FarmCPU_signals.csv","jdavis-132 / phyllotaxy / Data/signals/am3_82.FarmCPU_signals.csv","phyllotaxy","main",NA,8,"effect",9,"snp|chrom|pos|ref|alt|effect|am3_82farmcpu|precision|abs_yi","dd0785721dcb04b9"
"gh_jdavis-132_phyllotaxy_Data_signals_cam4pmed_53.FarmCPU_signals.csv","GitHub","jdavis-132","Data/signals/cam4pmed_53.FarmCPU_signals.csv","jdavis-132 / phyllotaxy / Data/signals/cam4pmed_53.FarmCPU_signals.csv","phyllotaxy","main",NA,8,"effect",9,"snp|chrom|pos|ref|alt|effect|cam4pmed_53farmcpu|precision|abs_yi","2bf7b94191f6d80a"
"gh_jdavis-132_phyllotaxy_Data_signals_cam4pmed_60.FarmCPU_signals.csv","GitHub","jdavis-132","Data/signals/cam4pmed_60.FarmCPU_signals.csv","jdavis-132 / phyllotaxy / Data/signals/cam4pmed_60.FarmCPU_signals.csv","phyllotaxy","main",NA,9,"effect",9,"snp|chrom|pos|ref|alt|effect|cam4pmed_60farmcpu|precision|abs_yi","604561a582f638ff"
"gh_jdavis-132_phyllotaxy_Data_signals_med2_33.FarmCPU_signals.csv","GitHub","jdavis-132","Data/signals/med2_33.FarmCPU_signals.csv","jdavis-132 / phyllotaxy / Data/signals/med2_33.FarmCPU_signals.csv","phyllotaxy","main",NA,8,"effect",9,"snp|chrom|pos|ref|alt|effect|med2_33farmcpu|precision|abs_yi","065066ed914f181c"
"gh_jiaxuwu_BVG_7003_GWAS_rMVP_result_protein.FarmCPU_signals.csv","GitHub","jiaxuwu","rMVP_result/protein.FarmCPU_signals.csv","jiaxuwu / BVG_7003_GWAS / rMVP_result/protein.FarmCPU_signals.csv","BVG_7003_GWAS","main",NA,173,"effect",9,"snp|chrom|pos|ref|alt|effect|proteinfarmcpu|precision|abs_yi","808c3bb37b4103fc"
"gh_StevisonLab_Diet-and-recombination-in-Dmel_output_recomb-stats_anova-cvv_posthoc.csv","GitHub","StevisonLab","output/recomb-stats_anova-cvv_posthoc.csv","StevisonLab / Diet-and-recombination-in-Dmel / output/recomb-stats_anova-cvv_posthoc.csv","Diet-and-recombination-in-Dmel","main",NA,24,"estimate",9,"x|contrast|paternalstock|vial_letter|estimate|zratio|pvalue|precision|abs_yi","e8aa7b4fb41816c6"
"gh_arifinabintarti_Bintarti_2024_Microservices_DAA_glmmTMB_COM_BulkSoil_rare_prev80_COM_K04_130923.csv","GitHub","arifinabintarti","DAA/glmmTMB/COM_BulkSoil_rare_prev80/COM_K04_130923.csv","arifinabintarti / Bintarti_2024_Microservices / DAA/glmmTMB/COM_BulkSoil_rare_prev80/COM_K04_130923.csv","Bintarti_2024_Microservices","main",NA,20,"estimate",8,"x|otu|estimate|zratio|pvalue|padjust|precision|abs_yi","191db7763019c6f5"
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","GitHub","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv","FLOW-MR-PAPER","main",NA,2400,"estimate",8,"method|pval|estimate|lower|upper|length|precision|abs_yi","fb09bfc4e9de1091"
"gh_CraigNorrie_Single_stressor_dataanalysis_sigtemprespcontrasts_noHS.csv","GitHub","CraigNorrie","sigtemprespcontrasts_noHS.csv","CraigNorrie / Single_stressor_dataanalysis / sigtemprespcontrasts_noHS.csv","Single_stressor_dataanalysis","main",NA,16,"estimate",7,"x|contrast|estimate|tratio|pvalue|precision|abs_yi","bd06a3adba2722ff"
"gh_DylanMG_DL-CC-sockeye_output_CV_elpd_table.csv","GitHub","DylanMG","output/CV/elpd_table.csv","DylanMG / DL-CC-sockeye / output/CV/elpd_table.csv","DL-CC-sockeye","main",NA,12,"estimate",7,"x|model|metric|estimate|weight|precision|abs_yi","37c16e946d796a7a"
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","GitHub","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv","DL-CC-sockeye","main",NA,1242,"estimate",7,"x|pop|model|metric|estimate|precision|abs_yi","ecf97cf46660d850"
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_France_france_c4.csv","GitHub","Elenoar12","data/LPA/France/france_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/France/france_c4.csv","Adolescent-Well-Being-in-Flux","main",NA,20,"estimate",7,"variable|latentclass|estimate|pvalue|proportion|precision|abs_yi","9a9f4b3a5b218730"
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Germany_2002_germany_2002_c4.csv","GitHub","Elenoar12","data/LPA/Germany/2002/germany_2002_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Germany/2002/germany_2002_c4.csv","Adolescent-Well-Being-in-Flux","main",NA,20,"estimate",7,"variable|latentclass|estimate|pvalue|proportion|precision|abs_yi","8b8de313eb227f66"
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Germany_2010_germany_2010_c4.csv","GitHub","Elenoar12","data/LPA/Germany/2010/germany_2010_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Germany/2010/germany_2010_c4.csv","Adolescent-Well-Being-in-Flux","main",NA,20,"estimate",7,"variable|latentclass|estimate|pvalue|proportion|precision|abs_yi","fd62cceae5864c77"
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Italy_2018_italy_2018_c4.csv","GitHub","Elenoar12","data/LPA/Italy/2018/italy_2018_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Italy/2018/italy_2018_c4.csv","Adolescent-Well-Being-in-Flux","main",NA,20,"estimate",7,"variable|latentclass|estimate|pvalue|proportion|precision|abs_yi","dfc85eec79b9594b"
"gh_Elenoar12_Adolescent-Well-Being-in-Flux_data_LPA_Italy_italy_c4.csv","GitHub","Elenoar12","data/LPA/Italy/italy_c4.csv","Elenoar12 / Adolescent-Well-Being-in-Flux / data/LPA/Italy/italy_c4.csv","Adolescent-Well-Being-in-Flux","main",NA,20,"estimate",7,"variable|latentclass|estimate|pvalue|proportion|precision|abs_yi","6fed1ba46d98726c"
"gh_emoran5_FecundityShinyApp_Quercus_model1_f4_betas.csv","GitHub","emoran5","Quercus_model1_f4_betas.csv","emoran5 / FecundityShinyApp / Quercus_model1_f4_betas.csv","FecundityShinyApp","main",NA,57,"estimate",7,"x|estimate|ci_025|ci_975|sig95|precision|abs_yi","2f09d827c3c2370d"
"gh_garlandxie_phenophase_output_pheno_over_time.csv","GitHub","garlandxie","output/pheno_over_time.csv","garlandxie / phenophase / output/pheno_over_time.csv","phenophase","main","MIT",9,"estimate",7,"mow_poly|pheno_del_eff|estimate|z_ratio|p_value|precision|abs_yi","14c5c1b6e616397b"
"gh_hdruckenmiller_cbra_output_source_data_fig4.csv","GitHub","hdruckenmiller","output/source_data_fig4.csv","hdruckenmiller / cbra / output/source_data_fig4.csv","cbra","main",NA,36,"estimate",7,"outcome_variable|distance_band|estimate|control_mean|relative_effect|precision|abs_yi","db3614ff570fd3e9"
"gh_madbullahi_life-history-traits-analysis_Tukey_result.csv","GitHub","madbullahi","Tukey_result.csv","madbullahi / life-history-traits-analysis / Tukey_result.csv","life-history-traits-analysis","main","MIT",28,"estimate",7,"x|contrast|estimate|tratio|pvalue|precision|abs_yi","a910905fb1c6bd83"
"gh_OrenBochman_notes-bayes_data_100_demand_elasticity_estimates_long.csv","GitHub","OrenBochman","data/100/demand/elasticity_estimates_long.csv","OrenBochman / notes-bayes / data/100/demand/elasticity_estimates_long.csv","notes-bayes","main",NA,15,"estimate",7,"product|term|estimate|lwr|upr|precision|abs_yi","3d6961aa09ccb63d"
"gh_s-spillias_AI_Extraction_Data_qeff_dataframe.csv","GitHub","s-spillias","Data/qeff_dataframe.csv","s-spillias / AI_Extraction / Data/qeff_dataframe.csv","AI_Extraction","main","MIT",55,"estimate",7,"x|contrast|estimate|zratio|pvalue|precision|abs_yi","08cd9768406293a4"
"gh_StreptanthusDimensions_Germination.Fitness_Results_bud.sept1.pheno.contrasts.csv","GitHub","StreptanthusDimensions","Results/bud.sept1.pheno.contrasts.csv","StreptanthusDimensions / Germination.Fitness / Results/bud.sept1.pheno.contrasts.csv","Germination.Fitness","main","MIT",45,"estimate",7,"x|contrast|estimate|tratio|pvalue|precision|abs_yi","b6a4e705f93d84fe"
"gh_cculma_Norberg_2020_BLUE_values_H2_MS.csv","GitHub","cculma","BLUE_values/H2_MS.csv","cculma / Norberg_2020 / BLUE_values/H2_MS.csv","Norberg_2020","main",NA,26,"estimate",6,"x|env|component|estimate|precision|abs_yi","17c4ada22a4924c9"
"gh_cculma_Norberg_2020_BLUE_values_H2_PH.csv","GitHub","cculma","BLUE_values/H2_PH.csv","cculma / Norberg_2020 / BLUE_values/H2_PH.csv","Norberg_2020","main",NA,44,"estimate",6,"x|env|component|estimate|precision|abs_yi","43d150c55ccadb23"
"gh_CHANGES-UM_bluegill_growth_Tables_emmeans.csv","GitHub","CHANGES-UM","Tables/emmeans.csv","CHANGES-UM / bluegill_growth / Tables/emmeans.csv","bluegill_growth","main",NA,28,"estimate",6,"x|contrast|estimate|tratio|precision|abs_yi","54944170eef2434b"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","GitHub","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv","alliance-cooperation-Utah","main","CC0-1.0",29,"estimate",6,"parameter|estimate|p|or|precision|abs_yi","0bf658ef4b924e84"
"gh_DVS-Lab_istart-mid-clean_code_r_pairwise_results.csv","GitHub","DVS-Lab","code/r_pairwise_results.csv","DVS-Lab / istart-mid-clean / code/r_pairwise_results.csv","istart-mid-clean","main",NA,10,"estimate",6,"contrast|estimate|tratio|pvalue|precision|abs_yi","b82ebe5c2427cc83"
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run1.csv","GitHub","DylanMG","output/CV/loo_table_run1.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run1.csv","DL-CC-sockeye","main",NA,18,"estimate",6,"x|model|metric|estimate|precision|abs_yi","09200f80ed52a3ff"
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run2.csv","GitHub","DylanMG","output/CV/loo_table_run2.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run2.csv","DL-CC-sockeye","main",NA,18,"estimate",6,"x|model|metric|estimate|precision|abs_yi","30dba6bf9c240a81"
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run4.csv","GitHub","DylanMG","output/CV/loo_table_run4.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run4.csv","DL-CC-sockeye","main",NA,18,"estimate",6,"x|model|metric|estimate|precision|abs_yi","47dc1fbadb69070b"
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run5.csv","GitHub","DylanMG","output/CV/loo_table_run5.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run5.csv","DL-CC-sockeye","main",NA,18,"estimate",6,"x|model|metric|estimate|precision|abs_yi","784f72bd7a9e0469"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","GitHub","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim","main","MIT",63,"estimate",6,"estimate|coef|method|functionform|precision|abs_yi","5871a401c64af874"
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","GitHub","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","RwandaBenchmarking","main",NA,91,"estimate",6,"contrast|estimate|tratio|pvalue|precision|abs_yi","a097858e258ce552"
"gh_gsbDBI_infodemic-replication_figures_figure3_source.csv","GitHub","gsbDBI","figures/figure3_source.csv","gsbDBI / infodemic-replication / figures/figure3_source.csv","infodemic-replication","main",NA,15,"estimate",5,"estimate|covariate|leaf|precision|abs_yi","7766ecd64f64d10a"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","GitHub","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv","IBSM2023","main","MIT",32,"from_dataset",3,"experiment|precision|abs_yi","f0b1f1b06932d16c"
"meta_Fleiss93","GitHub",NA,NA,NA,NA,NA,NA,7,"RR",NA,NA,NA
"meta_Fleiss93cont","GitHub",NA,NA,NA,NA,NA,NA,5,"SMD",NA,NA,NA
"metadat_dat.colditz1994","GitHub",NA,NA,NA,NA,NA,NA,13,"RR",NA,NA,NA
"metadat_dat.lim2014","GitHub",NA,NA,NA,NA,NA,NA,357,"ZCOR",NA,NA,NA
"netmeta_Senn2013","GitHub",NA,NA,NA,NA,NA,NA,28,"te",NA,NA,NA
