studyID,caseID,author,year,journal,kingdom,organism_group,thermoregulation,dispersal_type,trophic_position,realm,habitat,hemisphere,longitude_range,longitude_midpoint,scale,diversity,latitude_range,latitude_midpoint,total_taxonomic_richness,measure_of_richness,number_of_points,slope_b,SE_b,Var_b,intercept,r,rz,VarRz
1136,4,"J. F. Ghiglione, P. E. Galand, T. Pommier, C. Pedros-Alio, E. W. Maas, K. Bakker, S. Bertilson, D. L. Kirchman, C. Lovejoy, P. L. Yager and A. E. Murray",2012,PNAS,Bacteria,bacteria,ecto,passive,multiple,marine,Open ocean,N,301.73,-8.475,regional,gamma,69.812,45.094,3786,index,22,-4.823443,5.654164,703.3305519,2409.777,-0.162006142,-0.163446226,0.03846154
217,1,"D. M. Dehling, C. Hof, M. BrÃ_ndle and R. Brandl",2010,Journal of Biogeography,Animalia,other invertebrates,ecto,both,multiple,freshwater,Freshwater,N,30,25,local,alpha,33.87,54.335,1959,S,24,3.240645,5.113926,627.6537392,342.7489,0.133886818,0.134695538,0.04761905
217,2,"D. M. Dehling, C. Hof, M. BrÃ_ndle and R. Brandl",2010,Journal of Biogeography,Animalia,other invertebrates,ecto,both,multiple,freshwater,Freshwater,N,30,25,local,alpha,33.594,54.197,2445,S,25,-12.82393,3.758528,353.1633182,1059.985,-0.579702855,-0.662015046,0.04545455
1136,1,"J. F. Ghiglione, P. E. Galand, T. Pommier, C. Pedros-Alio, E. W. Maas, K. Bakker, S. Bertilson, D. L. Kirchman, C. Lovejoy, P. L. Yager and A. E. Murray",2012,PNAS,Bacteria,bacteria,ecto,passive,multiple,marine,Open ocean,N,301.73,-8.475,regional,gamma,64.053,40.6135,2544,index,26,-2.14158,5.541383,798.3800644,1602.639,-0.078643582,-0.078806318,0.04347826
172,2,C. M. McCain,2007,Ecology,Animalia,mammals,homeo,active,omnivores,terrestrial,Terrestrial general,N,21.7441043,-108.6387189,regional,gamma,40.3,20.25,147,S,28,-0.5712239,0.3414566,3.264593071,49.18387,-0.311734663,-0.322465641,0.04
1137,1,"J. Filloy, S. Grosso and M. I. Bellocq",2015,Urban Ecosystems,Animalia,birds,homeo,active,multiple,terrestrial,Terrestrial other,S,2,-60,local,alpha,11.762,-31.584,39,S,30,-1.112059,0.4980869,7.442716799,54.01604,-0.388746061,-0.41032201,0.03703704
188,3,Stuart and Rex,2009,Marine Ecology,Animalia,other invertebrates,ecto,active,detritivores,marine,Open ocean,S,103.3,19.65,local,alpha,43.5,-21.72,42,index,33,-0.09801499,0.05340127,0.094105956,16.13404,-0.31308221,-0.323958932,0.03333333
1136,3,"J. F. Ghiglione, P. E. Galand, T. Pommier, C. Pedros-Alio, E. W. Maas, K. Bakker, S. Bertilson, D. L. Kirchman, C. Lovejoy, P. L. Yager and A. E. Murray",2012,PNAS,Bacteria,bacteria,ecto,passive,multiple,marine,Open ocean,both,301.73,-8.475,regional,gamma,153.887,3.0565,3786,index,33,3.339344,2.3512,182.4286675,1922.103,0.24717338,0.252400013,0.03333333
172,1,C. M. McCain,2007,Ecology,Animalia,mammals,homeo,active,omnivores,terrestrial,Terrestrial general,both,266.710771,13.8446145,regional,gamma,57.2,11.8,136,S,35,-1.081578,0.2538379,2.255178782,66.76697,-0.601648818,-0.695727453,0.03125
93,6,"J. F. Ghiglione, P. E. Galand, T. Pommier, C. Pedros-Alio, E. W. Maas, K. Bakker, S. Bertilson, D. L. Kirchman, C. Lovejoy, P. L. Yager and A. E. Murray",2012,PNAS,Bacteria,bacteria,ecto,passive,multiple,marine,Coastal/estuary,both,360,0,NA,NA,148.522,-1.621,2544,index,44,0.7816819,1.460527,93.85812118,1465.659,0.082303809,0.082490408,0.02439024
1139,3,J. Levinton and J. Mackie,2013,Global Ecology and Biogeography,Animalia,arthropods,ecto,passive,detritivores,marine,Coastal/estuary,S,360,0,regional,gamma,44.131,-22.9265,48,S,45,1.147822,0.06412408,0.185035394,45.16622,0.938976358,1.729327046,0.02380952
1139,2,J. Levinton and J. Mackie,2013,Global Ecology and Biogeography,Animalia,arthropods,ecto,passive,detritivores,marine,Coastal/estuary,N,360,0,regional,gamma,45.227,22.6915,59,S,46,-1.429418,0.07789565,0.279115685,61.00921,-0.940443991,-1.741877444,0.02325581
188,2,Stuart and Rex,2009,Marine Ecology,Animalia,other invertebrates,ecto,active,detritivores,marine,Open ocean,N,103.3,19.65,local,alpha,69.14973,41.967135,42,index,52,-0.1872411,0.02656414,0.036693984,18.39976,-0.70598279,-0.879129169,0.02040816
695,1,"M. J. Anderson, N. Tolimieri and R. B. Millar",2013,PLoS ONE,Animalia,fishes,ecto,passive,carnivores,marine,Coastal/estuary,N,8,-122,local,alpha,16,40,19,index,63,0.04345773,0.07697423,0.373277021,12.49298,0.072098308,0.072223625,0.01666667
212,3,"D. J. Currie, G. G. Mittelbach, H. V. Cornell, R. Field, J. F. Guegan, B. A. Hawkins, D. M. Kaufman, J. T. Kerr, T. Oberdorff, E. O'Brien and J. R. G. Turner",2004,Ecology Letters,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,S,249.83,41.915,local,alpha,41.14,-20.15,10,S,82,-0.08956136,0.01986405,0.0323556,8.243013,-0.450132869,-0.484866898,0.01265823
158,1,"C. Hassall, D. J. Thompson and I. F. Harvey",2010,Environmental Monitoring and Assessment,Animalia,arthropods,ecto,active,carnivores,freshwater,Freshwater,N,7,2.5,local,alpha,10,55,40,S,84,-3.485472,0.1477591,1.833951137,210.2618,-0.933574314,-1.685520864,0.01234568
188,1,Stuart and Rex,2009,Marine Ecology,Animalia,other invertebrates,ecto,active,detritivores,marine,Open ocean,both,103.3,19.65,local,alpha,120,16.542,42,index,85,-0.1683062,0.02268807,0.043753624,17.73856,-0.631414681,-0.743765303,0.01219512
1139,1,J. Levinton and J. Mackie,2013,Global Ecology and Biogeography,Animalia,arthropods,ecto,passive,detritivores,marine,Coastal/estuary,both,360,0,regional,gamma,90.297,0.1565,59,S,91,0.1126248,0.07510934,0.513368579,23.83454,0.156973883,0.158282608,0.01136364
212,2,"D. J. Currie, G. G. Mittelbach, H. V. Cornell, R. Field, J. F. Guegan, B. A. Hawkins, D. M. Kaufman, J. T. Kerr, T. Oberdorff, E. O'Brien and J. R. G. Turner",2004,Ecology Letters,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,267.98,6.16,local,alpha,60.55,30.395,10,S,107,-0.09202173,0.007508652,0.006032644,7.424351,-0.767170581,-1.013414463,0.009615385
153,1,"C. Frojan, S. G. Bolam, J. D. Eggleton and C. Mason",2012,Journal of Sea Research,Animalia,other invertebrates,ecto,both,detritivores,marine,Coastal/estuary,N,11,3.5,local,alpha,11,54.5,1123,S,136,-4.084474,0.9059781,111.6282992,256.9428,-0.362910733,-0.380234077,0.007518797
442,1,"J. C. Russell, M. N. Clout and B. H. McArdle",2004,Journal of Biogeography,Animalia,mammals,homeo,active,omnivores,terrestrial,Terrestrial general,S,12.07,172.535,local,alpha,12.8,-40.86,13,S,165,0.09300311,0.04283091,0.30269033,5.753009,0.167669556,0.169267839,0.00617284
717,3,"M. M. Rivadeneira, A. H. Alballay, J. A. VillafaÃ±a, P. T. Raimondi, C. A. Blanchette and P. B. Fenberg",2015,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,passive,herbivores,marine,Coastal/estuary,S,11.2922,-75.6461,local,alpha,50.354972,-28.855514,37,S,174,-0.2243081,0.03410518,0.202390415,4.880135,-0.448277258,-0.482542195,0.005847953
212,1,"D. J. Currie, G. G. Mittelbach, H. V. Cornell, R. Field, J. F. Guegan, B. A. Hawkins, D. M. Kaufman, J. T. Kerr, T. Oberdorff, E. O'Brien and J. R. G. Turner",2004,Ecology Letters,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,both,294.66,19.5,local,alpha,101.39,9.975,10,S,189,-0.09732993,0.008000177,0.012096535,7.872895,-0.664687295,-0.801164515,0.005376344
201,1,D. Escoriza and A. RuhÃ_,2014,Biological Conservation,Animalia,herpetofauna,ecto,active,omnivores,freshwater,Freshwater,N,20,20,local,alpha,41.5,50.75,14,S,225,-0.1124057,0.02240356,0.112931888,12.91671,-0.318488304,-0.329963861,0.004504505
1138,1,"J. L. TellerÃ_a, R. Baquero and T. Santos",2003,Journal of Biogeography,Animalia,birds,homeo,active,multiple,terrestrial,Terrestrial other,N,35,7.5,regional,gamma,35.432,52.768,43,S,246,-0.1459669,0.05430698,0.725515027,38.25042,-0.169577327,-0.171231444,0.004115226
717,2,"M. M. Rivadeneira, A. H. Alballay, J. A. VillafaÃ±a, P. T. Raimondi, C. A. Blanchette and P. B. Fenberg",2015,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,passive,herbivores,marine,Coastal/estuary,N,57.21204,-108.12548,local,alpha,49.468042,33.536799,76,S,254,-0.6239171,0.05140265,0.671127036,36.61639,-0.607403079,-0.704795861,0.003984064
222,1,"D. O. Hessen, B. A. Faafeng, V. H. Smith, V. Bakkestuen and B. Walseng",2006,Ecology,Animalia,other invertebrates,ecto,both,omnivores,freshwater,Freshwater,N,7,8.5,local,alpha,13,64.5,11,index,291,-0.1582502,0.03227507,0.303128922,14.82021,-0.277125495,-0.284565746,0.003472222
717,1,"M. M. Rivadeneira, A. H. Alballay, J. A. VillafaÃ±a, P. T. Raimondi, C. A. Blanchette and P. B. Fenberg",2015,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,passive,herbivores,marine,Coastal/estuary,both,66.73148,-103.36426,local,alpha,112.30382,2.11891,76,S,428,0.03434411,0.01211461,0.062814896,12.07897,0.136075347,0.136924683,0.002352941
169,1,C. M. Ernst and C. M. Buddle,2015,PLoS ONE,Animalia,arthropods,ecto,active,detritivores,terrestrial,Terrestrial general,N,78.07,-99.325,local,alpha,30.59,66.535,254,S,985,-0.6851047,0.1331988,17.47579152,58.08112,-0.537838638,-0.601109564,0.00101833
13,3,"A. C. Algar, J. T. Kerr and D. J. Currie",2009,Ecology Letters,Animalia,herpetofauna,ecto,passive,carnivores,terrestrial,Terrestrial general,S,45.11,-58.025,regional,gamma,54.1865287,-27,62,S,1472,0.5873506,0.0199206,0.584134208,25.8259,0.609604298,0.708291402,6.80735e-4
13,2,"A. C. Algar, J. T. Kerr and D. J. Currie",2009,Ecology Letters,Animalia,herpetofauna,ecto,passive,carnivores,terrestrial,Terrestrial general,N,165.56,82.78,regional,gamma,70.71898,35.35949,33,S,2320,-0.3006456,0.004517076,0.047337223,16.8956,-0.810238422,-1.127722704,4.31593e-4
13,1,"A. C. Algar, J. T. Kerr and D. J. Currie",2009,Ecology Letters,Animalia,herpetofauna,ecto,passive,carnivores,terrestrial,Terrestrial general,both,165.56,82.78,regional,gamma,125.38525,8.017375,62,S,3792,-0.165902,0.004538671,0.078113435,11.88698,-0.510538539,-0.563457894,2.63922e-4
771,1,M. W. Palmer,2006,Preslia,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,88.21,-98.06,local,alpha,57.1875,53.28125,6029,S,4067,-4.322328,1.342933,7334.708596,811.5908,-0.050417398,-0.050460182,2.46063e-4
613,1,"L. Huang, Y. Zhang, X. Jin and X. Shan",2010,J. Ocean Univ. China,Animalia,fishes,ecto,active,multiple,marine,Coastal/estuary,N,12,118,local,alpha,11,27,1397,S,4,-70.68889,22.04381,1943.718237,2477.067,-0.914973388,-1.5572473550000001,0.166667
1145,1,"H. L. Judkins, M. Vecchione, C. F. E. Roper and J. Torres",2010,International Council for the Exploration of the Sea,Animalia,other invertebrates,ecto,active,carnivores,marine,Open ocean,N,30,-75,local,alpha,19,18.5,NA,S,5,2.253899,0.42713,0.912200185,17.77903,0.950126202,1.833076798,0.5
663,1,"M. D. Munn, I. R. Waite, D. P. Larsen and A. T. Herlihy",2009,Environ Monit Assess,Animalia,other invertebrates,ecto,both,multiple,freshwater,Freshwater,N,30,-110,local,alpha,20,41.5,301,index,6,4.54717,2.849858,48.73014372,-57.7673,0.623640521,0.73094069800000006,0.3333333
647,1,M. A. Khalaf and M. Abdallah,2014,ZooKeys,Animalia,fishes,ecto,active,multiple,marine,Open ocean,N,11,38.5,local,alpha,18,20,50,index,8,0.02980049,0.25475,0.5191805,0.6150403,0.338373167,0.3522542,0.2
666,1,"M. De Caceres, P. Legendre, R. Valencia, M. Cao, L. W. Chang, G. Chuyong, R. Condit, Z. Q. Hao, C. F. Hsieh, S. Hubbell, D. Kenfack, K. P. Ma, X. C. Mi, M. N. S. Noor, A. R. Kassim, H. B. Ren, S. H. Su, I. F. Sun, D. Thomas, W. H. Ye and F. L. He",2012,Global Ecology and Biogeography,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,271.4,144.5,local,alpha,40,22.7,NA,S,9,-15.94888,4.266115,163.7976347,630.0286,-0.816266868,-1.145527084,0.1666667
668,1,"M. DÃ_az, A. P. MÃ¸ller, E. Flensted-Jensen, T. Grim, J. D. IbÃ¡Ã±ez-ÃÅlamo, J. JokimÃ_ki, G. MarkÃ_ and P. Tryjanowski",2013,Plos ONE,Animalia,birds,homeo,active,carnivores,terrestrial,Terrestrial general,N,20,15,local,alpha,30,50,159,index,9,-0.002648845,0.001319127,1.57e-5,0.1846123,-0.604559757,-0.70030251,0.1666667
668,2,"M. DÃ_az, A. P. MÃ¸ller, E. Flensted-Jensen, T. Grim, J. D. IbÃ¡Ã±ez-ÃÅlamo, J. JokimÃ_ki, G. MarkÃ_ and P. Tryjanowski",2013,Plos ONE,Animalia,birds,homeo,active,carnivores,terrestrial,Terrestrial general,N,20,15,local,alpha,30,50,159,index,9,-0.002384258,0.001202026,1.3e-5,0.1623364,-0.599848814,-0.692910986,0.1666667
615,1,"L. Kotwicki, M. Szymelfenig, M. De Troch, B. Urban-Malinga and J. M. Weslawski",2005,Biodiversity and Conservation,Animalia,other invertebrates,ecto,both,multiple,marine,Benthic,N,113,-2.5,local,alpha,75,42.5,NA,index,13,-0.06588574,0.03682499,0.017629039,10.83557,-0.47477521,-0.516217257,0.1
1144,1,"H. Millberg, J. Boberg and J. Stenlid",2015,Fungal Ecology,Fungi,fungi,ecto,passive,herbivores,terrestrial,Forest,N,12,18,local,alpha,14,61,NA,index,13,0.1259646,0.02808323,0.010252681,-6.603073,0.804062435,1.110000124,0.1
676,1,M. Fagundes and G. W. Fernandes,2011,Rev. Biol. Trop.,Animalia,arthropods,ecto,active,parasites,terrestrial,Terrestrial general,S,11,-44.5,local,alpha,13,-22.5,88,index,17,-0.003952454,3.24277e-4,1.79e-6,0.8180393,-0.703048789,-0.873303739,0.3333333
676,2,M. Fagundes and G. W. Fernandes,2011,Rev. Biol. Trop.,Animalia,arthropods,ecto,active,herbivores,terrestrial,Terrestrial general,S,11,-44.5,local,alpha,13,-22.5,88,index,17,0.2970813,0.2179989,0.807899847,3.463254,0.331916857,0.344980899,0.07142857
616,1,"L. L. Shi, P. E. Mortimer, J. W. Ferry Slik, X. M. Zou, J. Xu, W. T. Feng and L. Qiao",2014,Fungal Diversity,Fungi,fungi,ecto,passive,detritivores,terrestrial,Forest,N,13,93.5,local,alpha,27,34.5,NA,S,17,0.1316249,0.5068143,4.36663249,50.09726,0.066906666,0.067006771,0.07142857
289,1,"F. Molina-Freaner, R. Castillo GÃ¡mez, C. Tinoco-Ojanguren and A. E. Castellanos V",2004,Biodiversity and Conservation,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,10,-108,local,alpha,16,27,NA,S,26,-90.02743,27.82081,20123.9342,3512.144,-0.55115633,-0.620040649,0.04347826
415,1,"I. Timling, D. A. Walker, C. Nusbaum, N. J. Lennon and D. L. Taylor",2014,Molecular Ecology,Fungi,fungi,ecto,passive,detritivores,terrestrial,Terrestrial other,N,52,-129,local,alpha,10,73,1834,index,36,-0.4798027,7.566699,2061.177615,-10.61563,-0.086308343,-0.086523613,0.03030303
678,1,"M. FernÃ¡ndez, A. Astorga, S. A. Navarrete, C. Valdovinos and P. A. Marquet",2009,Ecology Letters,Animalia,other invertebrates,ecto,both,suspension,marine,Benthic,S,5,-72.5,local,alpha,36,-33,NA,S,37,4.569852,0.8513079,26.8148302,29.15694,0.671972172,0.814330352,0.02941176
678,2,"M. FernÃ¡ndez, A. Astorga, S. A. Navarrete, C. Valdovinos and P. A. Marquet",2009,Ecology Letters,Animalia,arthropods,ecto,active,multiple,marine,Benthic,S,5,-72.5,local,alpha,36,-33,NA,S,37,0.5328749,0.1745232,1.126958852,100.4717,0.4586261,0.495570039,0.02941176
614,1,"L. Ju, J. Yang, L. Liu and D. M. Wilkinson",2014,Microb Ecol,Protista,protozoa,ecto,active,suspension,freshwater,Freshwater,N,18,109,local,alpha,27,36,169,S,51,0.3545334,0.138962,0.98483231,19.05198,0.342435541,0.356849008,0.02083333
826,1,P. HernÃ¡ndez-AlcÃÅNtara and V. SolÃ_s-Weiss,2013,CAHIERS DE BIOLOGIE MARINE,Animalia,other invertebrates,ecto,active,omnivores,marine,Benthic,N,9,-109.5,local,alpha,12,26,109,S,53,0.01180176,0.2954418,4.626150431,8.239514,0.00559464,0.005594699,0.02
653,1,"M. Bakowski, W. Ulrich and Z. LaÅ¡tÅ¯vka",2010,European Journal of Entomology,Animalia,arthropods,ecto,active,herbivores,terrestrial,Terrestrial general,N,29,24.5,local,alpha,45,45,133,index,112,-0.4112003,0.1034167,1.19784155,21.48738,-0.354491185,-0.370571143,0.009174312
652,1,"M. Aliabadian, R. Sluys, C. S. Roselaar and V. Nijman",2008,Contributions to Zoology,Animalia,birds,homeo,active,multiple,terrestrial,Terrestrial general,N,140,100,local,alpha,68,50,2401,S,119,0.7404982,0.1678128,3.351175165,43.73897,0.37772715,0.397405883,0.00862069
617,3,"L. Li, Y. Liu, X. Wang, J. Fang, Q. Wang, B. Zhang, P. Xiao, A. Mohammat and A. Terwei",2015,Plos ONE,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,22,85,regional,gamma,15,43,NA,S,593,0.5608004,0.2545643,38.42816882,-1075.049,0.665396273,0.802435724,0.001694915
682,6,"M. G. Liuzzi, J. L. Gappa and M. L. Piriz",2011,Hydrobiologia,Plantae,other plants,ecto,passive,autotrophs,marine,Coastal/estuary,S,12,-63,local,alpha,19,-47.5,222,S,19,7.519227,0.971621,17.93689999,-238.2782,0.882555551,1.387210009,0.0625
677,1,"M. Ferenc, O. SedlÃ¡Äçek, R. Fuchs, M. Dinetti, M. Fraissinet and D. Storch",2014,Global Ecology and Biogeography,Animalia,birds,homeo,active,multiple,terrestrial,Terrestrial general,N,34,8,local,alpha,15,46,NA,S,41,4.602971,0.8683099,30.91244538,-133.0035,0.647139475,0.770361273,0.02631579
677,3,"M. Ferenc, O. SedlÃ¡Äçek, R. Fuchs, M. Dinetti, M. Fraissinet and D. Storch",2014,Global Ecology and Biogeography,Animalia,birds,homeo,active,multiple,terrestrial,Terrestrial general,N,34,8,local,alpha,15,46,NA,S,39,2.928494,0.4638528,8.391217383,-84.83152,0.720138945,0.90793355,0.02777778
677,4,"M. Ferenc, O. SedlÃ¡Äçek, R. Fuchs, M. Dinetti, M. Fraissinet and D. Storch",2014,Global Ecology and Biogeography,Animalia,birds,homeo,active,multiple,terrestrial,Terrestrial general,N,34,8,local,alpha,25,46,NA,S,37,-0.04047044,0.1855838,1.274329832,92.38505,-0.036835703,-0.036852377,0.02941176
677,2,"M. Ferenc, O. SedlÃ¡Äçek, R. Fuchs, M. Dinetti, M. Fraissinet and D. Storch",2014,Global Ecology and Biogeography,Animalia,birds,homeo,active,multiple,terrestrial,Terrestrial general,N,34,8,regional,gamma,15,46,NA,S,35,1.480699,0.6425265,14.44941061,102.5905,0.372319486,0.391113171,0.03125
385,1,"H. T. Arita, J. Vargas-BarÃ_n and F. Villalobos",2014,Ecography,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,S,130,-100,local,alpha,56,-28,392,S,57,-4.137586,0.1565103,1.396242018,190.2189,-0.962831761,-1.98334444,0.01851852
385,2,"H. T. Arita, J. Vargas-BarÃ_n and F. Villalobos",2014,Ecography,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,N,130,-100,local,alpha,64,32,392,S,63,-3.131674,0.14696,1.360626221,168.0458,-0.938923426,-1.728879888,0.01666667
664,2,"M. D. Weiser, B. J. Enquist, B. Boyle, T. J. Killeen, P. M. JÃ¸rgensen, G. Fonseca, M. D. Jennings, A. J. Kerkhoff, T. E. Lacher, A. Monteagudo, M. P. N. Vargas, O. L. Phillips, N. G. Swenson and R. V. MartÃ_nez",2007,Global Ecology and Biogeography,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Forest,S,130,-100,local,alpha,60,-30,12980,S,56,-172.8116,4.684571,1228.931505,10525.27,-0.980730901,-2.316359234,0.01886792
664,1,"M. D. Weiser, B. J. Enquist, B. Boyle, T. J. Killeen, P. M. JÃ¸rgensen, G. Fonseca, M. D. Jennings, A. J. Kerkhoff, T. E. Lacher, A. Monteagudo, M. P. N. Vargas, O. L. Phillips, N. G. Swenson and R. V. MartÃ_nez",2007,Global Ecology and Biogeography,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Forest,N,130,-100,local,alpha,75,37.5,12980,S,73,-94.20621,2.505582,458.2897046,9784.082,-0.975795727,-2.201098645,0.01428571
617,1,"L. Li, Y. Liu, X. Wang, J. Fang, Q. Wang, B. Zhang, P. Xiao, A. Mohammat and A. Terwei",2015,Plos ONE,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,22,85,local,alpha,15,42.5,NA,S,98,-2.332552,0.5819534,33.18963646,121.6801,-0.378623692,-0.398452043,0.01052632
617,2,"L. Li, Y. Liu, X. Wang, J. Fang, Q. Wang, B. Zhang, P. Xiao, A. Mohammat and A. Terwei",2015,Plos ONE,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Forest,N,22,85,local,alpha,15,42.5,NA,S,131,0.5608004,0.2545643,8.489190751,0.395494,0.190412999,0.19276567,0.0078125
784,1,N. D. Pyenson,2011,Proceedings: Biological Sciences,Animalia,mammals,homeo,active,carnivores,marine,Coastal/estuary,N,275,18,regional,gamma,16,48,NA,index,5,0.1354,0.256,0.32768,9.5768,0.291941775,0.300687644,0.25
764,1,"M. V. Angel, K. Blachowiak-Samolyk, I. Drapun and R. Castillo",2007,Progress in Oceanography,Protista,herbaceous plants,ecto,passive,autotrophs,marine,Benthic,N,44,42.5,local,alpha,60,30,116,S,8,-0.7523,0.1686,0.22740768,88.1011,-0.876641318,-1.361071349,0.2
745,1,M. S. Rodriguero and D. E. Gorla,2004,Global Ecology and Biogeography,Animalia,arthropods,ecto,active,parasites,terrestrial,Terrestrial other,N,85,-82.5,regional,gamma,45,22.5,118,S,9,-0.6089,0.1024,0.09437184,32.8218,-0.913673902,-1.549324113,0.1666667
745,2,M. S. Rodriguero and D. E. Gorla,2004,Global Ecology and Biogeography,Animalia,arthropods,ecto,active,parasites,terrestrial,Terrestrial other,S,85,-82.5,regional,gamma,39,-20,118,S,9,-0.9035,0.1708,0.26255376,49.8771,-0.894371288,-1.443356028,0.1666667
781,1,"N. Al-Saboui, M. Kucera and D. N. Schmidt",2007,Marine Micropaleontology,Protista,protozoa,ecto,passive,multiple,marine,Open ocean,N,68,-27.5,local,alpha,75,35.5,31,S,12,-0.2297,0.0272,0.00887808,22.7157,-0.966695402,-2.039207241,0.25
781,2,"N. Al-Saboui, M. Kucera and D. N. Schmidt",2007,Marine Micropaleontology,Protista,protozoa,ecto,passive,multiple,marine,Open ocean,S,68,-27.5,local,alpha,42,-24.5,31,S,12,-0.216,0.1329,0.21194892,22.21,-0.684178339,-0.836927701,0.5
713,1,"M. L. Forister, V. Novotny, A. K. Panorska, L. Baje, Y. Basset, P. T. Butterill, L. Cizek, P. D. Coley, F. Dem, I. R. Diniz, P. Drozd, M. Fox, A. E. Glassmire, R. Hazen, J. Hrcek, J. P. Jahner, O. Kaman, T. J. Kozubowski, T. A. Kursar, O. T. Lewis, J. Lill, R. J. Marquis, S. E. Miller, H. C. Morais, M. Murakami, H. Nickel, N. A. Pardikes, R. E. Ricklefs, M. S. Singer, A. M. Smilanich, J. O. Stireman, S. Villamarin-Cortez, S. Vodka, M. Volf, D. L. Wagner, T. Walla, G. D. Weiblen and L. A. Dyer",2015,PNAS,Animalia,arthropods,ecto,active,herbivores,terrestrial,Terrestrial general,N,247,23,regional,alpha,47,24,6388,index,13,-22.111,8.375,911.828125,1107.219,-0.622735899,-0.729461678,0.1
743,1,"M. S. McGlone, S. J. Richardson and G. J. Jordan",2010,New Zealand Journal of Ecology,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Forest,S,9,175,regional,gamma,14,-41.5,614,S,13,-3.01,1.681,36.734893,278.195,-0.475078941,-0.516609449,0.1
710,1,"M. Kulbicki, Y. M. Bozec and A. Green",2005,AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS,Animalia,fishes,ecto,active,multiple,marine,Open ocean,N,160,15.5,regional,gamma,27,14,NA,S,18,0.4997,0.3139,1.77359778,25.109,0.369729631,0.388109883,0.066666667
710,3,"M. Kulbicki, Y. M. Bozec and A. Green",2005,AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS,Animalia,fishes,ecto,active,multiple,marine,Open ocean,N,162,15.5,regional,gamma,27,14,NA,S,18,9.221,10.125,1845.28125,464.169,0.221990991,0.225749332,0.066666667
749,1,"M. SchrÃ¶dl, J. M. Bohn, N. Brenke, E. RolÃ¡n and E. Schwabe",2011,Deep-Sea Research II,Animalia,other invertebrates,ecto,passive,multiple,marine,Benthic,S,7,4,local,alpha,28,-14.5,NA,S,20,-0.01788,0.05276,0.055672352,3.19774,-0.079642953,-0.079811989,0.05882353
825,1,"P. GonzÃ¡lez-ÃÅvila, A. Torres-Miranda, M. Villegas-RÃ_os and I. Luna-Vega",2013,North American Fungi,Fungi,fungi,ecto,passive,detritivores,terrestrial,Terrestrial general,N,17,-96,regional,gamma,11,22,22,S,22,-0.1095,0.1456,0.46638592,4.4825,-0.165801086,-0.167345938,0.05263158
770,1,"M. V. Vinarski, N. I. Andreyev, S. I. Andreyeva, A. V. Karimov and E. A. Lazutkina",2012,nland Water Biology,Animalia,other invertebrates,ecto,active,herbivores,freshwater,Freshwater,N,NA,NA,local,alpha,23,61,117,S,23,-3.5053,0.4324,4.30030448,260.8691,-0.870574523,-1.335447823,0.01333333
797,1,N. Saintilan,2009,Austral Ecology,Plantae,herbaceous plants,ecto,passive,autotrophs,marine,Coastal/estuary,S,40,125.5,local,alpha,33,-27,90,S,33,1.2103,0.1974,1.28590308,1.2781,0.740270221,0.95107695,0.03333333
710,2,"M. Kulbicki, Y. M. Bozec and A. Green",2005,AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS,Animalia,fishes,ecto,active,multiple,marine,Open ocean,S,161,101,regional,gamma,29,-15,NA,S,35,-1.022,0.1796,1.1289656,45.7761,-0.705265907,-0.877701383,0.03125
710,4,"M. Kulbicki, Y. M. Bozec and A. Green",2005,AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS,Animalia,fishes,ecto,active,multiple,marine,Open ocean,S,163,101,regional,gamma,29,-15,NA,S,35,-29.033,4.975,866.271875,1017.375,-0.712671032,-0.892590824,0.03125
734,1,M. Pautasso and G. Powell,2009,Oecologia,Animalia,arthropods,ecto,active,herbivores,terrestrial,Terrestrial other,N,46,15.5,regional,gamma,40,50.5,1373,S,35,0.015,0.007,0.001715,1.75,0.360555128,0.377523832,0.03125
