Estimate_ID,Article.ID,N,Corrected_Effect_Size,Effect_size,SE_calc,Effect_value,df,P,SE,Sign,Predicted.direction,Match,Test_type,Effect_type,Level_of_Inference,Class,Order,Species,Species2,Common_name,Invert_Vert,Ecto_Endo,Stage,Sex,Field_Lab,Manipulation,Manipulation.characteristics,Relation_type,Relation,Relation_Cat_1,Relation_Cat_2,B_Trait,B_Category,P_Trait,P_Category,LH_Trait,LH_Category,Trait1_description,Trait2_description
71,34,480,0.247,-0.247,0.044321736,-0.247,NA,NA,NA,-,-,1,Bivariate,Corr,P,Insecta,Coleoptera,Tenebrio molitor,Tenebrio_molitor,Mealworm beetles,Invert,Ecto,Adult,Both,Lab,N,NA,BxP,BoldxRMR,BoldxRMR,BoldxMetab,Boldness,Boldness,RMR,Metabolism,NA,NA,total time immobile following predation threat,RMR
72,34,480,0.28,0.28,0.043909378,0.28,NA,NA,NA,+,+,1,Bivariate,Corr,P,Insecta,Coleoptera,Tenebrio molitor,Tenebrio_molitor,Mealworm beetles,Invert,Ecto,Adult,Both,Lab,N,NA,BxP,BoldxRMR,BoldxRMR,BoldxMetab,Boldness,Boldness,RMR,Metabolism,NA,NA,latency to become immobile following manipulation,RMR
75,36,29,-0.656744255,0.656744255,0.145129187,0.639,NA,NA,NA,+,-,-1,Bivariate,Corr,P,Aves,Passeriformes,Parus major,Parus_major,Great tit,Vert,Endo,Adult,M,Field,N,NA,BxP,DocilitylxImmuneResponse,DocilitylxImmuneResponse,DocilityxImmunity,Docility,Docility,ImmuneResponse,Immunity,NA,NA,struggle rate in captivity,immune response to Brucella abortus antigens
76,36,29,0.827797988,-0.827797988,0.107969559,-0.815,NA,NA,NA,-,-,1,Bivariate,Corr,P,Aves,Passeriformes,Parus major,Parus_major,Great tit,Vert,Endo,Adult,M,Field,N,NA,BxP,DocilityxStressResponse,DocilityxStressResponse,DocilityxHormones,Docility,Docility,StressResponse,Hormones,NA,NA,struggle rate in captivity,heterophils to lymphocyte ratio
73,36,29,-0.45364259,-0.45364259,0.171508384,-0.437,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Aves,Passeriformes,Parus major,Parus_major,Great tit,Vert,Endo,Adult,M,Field,N,NA,BxP,AlarmCallxImmuneResponse,AlarmCallxImmuneResponse,OtherxImmunity,Other,Other,ImmuneResponse,Immunity,NA,NA,alarm call following handling,immune response to Brucella abortus antigens
74,36,29,0.605072499,0.605072499,0.153223061,0.587,NA,NA,NA,+,+,1,Bivariate,Corr,P,Aves,Passeriformes,Parus major,Parus_major,Great tit,Vert,Endo,Adult,M,Field,N,NA,BxP,AlarmCallxStressResponse,AlarmCallxStressResponse,OtherxHormones,Other,Other,StressResponse,Hormones,NA,NA,alarm call following handling,heterophils to lymphocyte ratio
77,38,170,0.03,0.03,0.077116949,0.03,NA,NA,NA,+,+,1,Bivariate,Corr,P,Reptilia,Squamata,Zootoca vivipara,Zootoca_vivipara,Common lizards,Vert,Ecto,Juv,Both,Field,N,NA,BxP,ActxRMR,ActxRMR,ActxMetab,Activity,Activity,RMR,Metabolism,NA,NA,exploration distance covered novel environment,RMR
79,38,52,-0.04,-0.04,0.141308174,-0.04,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Reptilia,Squamata,Zootoca vivipara,Zootoca_vivipara,Common lizards,Vert,Ecto,Juv,Both,Field,N,NA,BxP,ActxRMR,ActxRMR,ActxMetab,Activity,Activity,RMR,Metabolism,NA,NA,exploration distance covered novel environment,RMR
78,38,170,0.05,0.05,0.077055175,0.05,NA,NA,NA,+,+,1,Bivariate,Corr,P,Reptilia,Squamata,Zootoca vivipara,Zootoca_vivipara,Common lizards,Vert,Ecto,Juv,Both,Field,N,NA,BxP,ExploxRMR,ExploxRMR,ExploxMetab,Exploration,Exploration,RMR,Metabolism,NA,NA,exploration distance covered novel environment,RMR
80,38,52,-0.03,-0.03,0.141357702,-0.03,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Reptilia,Squamata,Zootoca vivipara,Zootoca_vivipara,Common lizards,Vert,Ecto,Juv,Both,Field,N,NA,BxP,ExploxRMR,ExploxRMR,ExploxMetab,Exploration,Exploration,RMR,Metabolism,NA,NA,exploration distance covered novel environment,RMR
82,41,22,-0.1995998,-0.1995998,0.219107271,-3.99,16,<0.001,NA,-,+,-1,LMM,t,ID,Mammalia,Artiodactyla,Cervus elaphus,Cervus_elaphus,Red deers,Vert,Endo,Adult,F,Lab,Y,Restricted/Unrestricted food intake,BxP,SocialRankxRumenTemp,AggrxBodyTemp,AggrxMetab,SocialRank,Aggression,BodyTemp,Metabolism,NA,NA,Social dominance score (unrestricted),Rumen temperature
83,41,11,-0.290780142,-0.290780142,0.318929966,-2.05,5,<0.001,0.42,-,+,-1,LMM,Reg,ID,Mammalia,Artiodactyla,Cervus elaphus,Cervus_elaphus,Red deers,Vert,Endo,Adult,F,Lab,Y,Restricted/Unrestricted food intake,BxP,SocialRankxHeartRate (unrestricted),AggrxHeartRate,AggrxMetab,SocialRank,Aggression,HeartRate,Metabolism,NA,NA,Social dominance score (unrestricted),Mean daily heart rate (unrestricted)
84,41,11,-0.183006536,-0.183006536,0.327703899,-1.12,5,<0.0104,0.38,-,+,-1,LMM,Reg,ID,Mammalia,Artiodactyla,Cervus elaphus,Cervus_elaphus,Red deers,Vert,Endo,Adult,F,Lab,Y,Restricted/Unrestricted food intake,BxP,SocialRankxHeartRate (restricted),AggrxHeartRate,AggrxMetab,SocialRank,Aggression,HeartRate,Metabolism,NA,NA,Social dominance score (restricted),Mean daily heart rate (restricted)
85,46,551,0.16,0.16,0.042129128,0.16,NA,NA,NA,+,+,1,Bivariate,Corr,P,Aves,Strigiformes,Strix aluco,Strix_aluco,Tawny owls,Vert,Endo,Adult,Both,Field,N,NA,BxLH,BoldxClutchSize,BoldxClutchSize,BoldxProd,Boldness,Boldness,NA,NA,ClutchSize,Productivity,Latency to abandon nest during manipulations,Clutch size
86,46,551,0.34,0.34,0.04013638,0.34,NA,NA,NA,+,+,1,Bivariate,Corr,P,Aves,Strigiformes,Strix aluco,Strix_aluco,Tawny owls,Vert,Endo,Adult,Both,Field,N,NA,BxLH,BoldxClutchSize,BoldxClutchSize,BoldxProd,Boldness,Boldness,NA,NA,ClutchSize,Productivity,Latency to abandon nest during manipulations,Clutch size
87,46,551,0.16,-0.16,0.042129128,-0.16,NA,NA,NA,-,-,1,Bivariate,Corr,P,Aves,Strigiformes,Strix aluco,Strix_aluco,Tawny owls,Vert,Endo,Adult,Both,Field,N,NA,BxLH,BoldxLayingDate,BoldxLayingDate,BoldxProd,Boldness,Boldness,NA,NA,LayingDate,Productivity,Latency to abandon nest during manipulations,Laying date
88,46,551,0.01,-0.01,0.042676826,-0.01,NA,NA,NA,-,-,1,Bivariate,Corr,P,Aves,Strigiformes,Strix aluco,Strix_aluco,Tawny owls,Vert,Endo,Adult,Both,Field,N,NA,BxLH,BoldxLayingDate,BoldxLayingDate,BoldxProd,Boldness,Boldness,NA,NA,LayingDate,Productivity,Latency to abandon nest during manipulations,Laying date
89,46,551,-0.1,-0.1,0.042465029,-0.1,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Aves,Strigiformes,Strix aluco,Strix_aluco,Tawny owls,Vert,Endo,Adult,Both,Field,N,NA,BxLH,BoldxRecruitment,BoldxRecruitment,BoldxProd,Boldness,Boldness,NA,NA,Recruitment,Productivity,Latency to abandon nest during manipulations,recruitment of offsprings
90,46,551,0.15,0.15,0.04219609,0.15,NA,NA,NA,+,+,1,Bivariate,Corr,P,Aves,Strigiformes,Strix aluco,Strix_aluco,Tawny owls,Vert,Endo,Adult,Both,Field,N,NA,BxLH,BoldxRecruitment,BoldxRecruitment,BoldxProd,Boldness,Boldness,NA,NA,Recruitment,Productivity,Latency to abandon nest during manipulations,recruitment of offsprings
91,49,9,-0.84,0.84,0.205078382,0.84,NA,0.007,0.11,+,-,-1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodAdLib,BxP,Act(nov)xHCT,ActxHaemato,ActxImmunity,Activity(nov),Activity,Haematocrits,Immunity,NA,NA,Activity in novel environment,haematocrite
92,49,9,0.11,0.11,0.375670829,0.11,NA,0.862,0.34,+,+,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodAdLib,BxP,Act(nov)xCort,ActxCort,ActxHormones,Activity(nov),Activity,Cort,Hormones,NA,NA,Activity in novel environment,Stress-induced Cort levels
93,49,9,-0.62,-0.62,0.29655161,-0.62,NA,0.037,0.0.23,-,+,-1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodAdLib,BxP,Act(nov)xBMR,ActxRMR,ActxMetab,Activity(nov),Activity,RMR,Metabolism,NA,NA,Activity in novel environment,RMR
94,49,9,0.03,-0.03,0.377794351,-0.03,NA,0.506,0.36,-,-,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodAdLib,BxP,Act(fam)xHCT,ActxHaemato,ActxImmunity,Activity(fam),Activity,Haematocrits,Immunity,NA,NA,Activity in home cage,haematocrite
95,49,9,-0.2,-0.2,0.37032804,-0.2,NA,0.596,0.33,-,+,-1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodAdLib,BxP,Act(fam)xCort,ActxCort,ActxHormones,Activity(fam),Activity,Cort,Hormones,NA,NA,Activity in home cage,Stress-induced Cort levels
96,49,9,-0.45,-0.45,0.337533067,-0.45,NA,0.091,0.29,-,+,-1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodAdLib,BxP,Act(fam)xBMR,ActxRMR,ActxMetab,Activity(fam),Activity,RMR,Metabolism,NA,NA,Activity in home cage,RMR
103,49,10,-0.08,0.08,0.352420204,0.08,NA,0.84,0.38,+,-,-1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodRestricted,BxP,Act(nov)xHCT,ActxHaemato,ActxImmunity,Activity(nov),Activity,Haematocrits,Immunity,NA,NA,Activity in novel environment,haematocrite
104,49,10,0.17,0.17,0.348407089,0.17,NA,0.654,0.37,+,+,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodRestricted,BxP,Act(nov)xCort,ActxCort,ActxHormones,Activity(nov),Activity,Cort,Hormones,NA,NA,Activity in novel environment,Stress-induced Cort levels
105,49,10,-0.18,-0.18,0.347778665,-0.18,NA,0.64,0.37,-,+,-1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodRestricted,BxP,Act(nov)xBMR,ActxRMR,ActxMetab,Activity(nov),Activity,RMR,Metabolism,NA,NA,Activity in novel environment,RMR
106,49,10,0.14,-0.14,0.350071421,-0.14,NA,0.712,0.37,-,-,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodRestricted,BxP,Act(fam)xHCT,ActxHaemato,ActxImmunity,Activity(fam),Activity,Haematocrits,Immunity,NA,NA,Activity in home cage,haematocrite
107,49,10,0.09,0.09,0.352118588,0.09,NA,0.816,0.38,+,+,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodRestricted,BxP,Act(fam)xCort,ActxCort,ActxHormones,Activity(fam),Activity,Cort,Hormones,NA,NA,Activity in home cage,Stress-induced Cort levels
108,49,10,-0.32,-0.32,0.334962684,-0.32,NA,0.379,0.34,-,+,-1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodRestricted,BxP,Act(fam)xBMR,ActxRMR,ActxMetab,Activity(fam),Activity,RMR,Metabolism,NA,NA,Activity in home cage,RMR
97,49,9,-0.25,0.25,0.365962527,0.25,NA,0.75,0.33,+,-,-1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodAdLib,BxP,FeedingRate(nov)xHCT,ForxHaemato,ForxImmunity,FeedingRate(nov),Foraging,Haematocrits,Immunity,NA,NA,Feeding rate in novel environment,haematocrite
98,49,9,0.4,0.4,0.346410162,0.4,NA,0.181,0.29,+,+,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodAdLib,BxP,FeedingRate(nov)xCort,ForxCort,ForxHormones,FeedingRate(nov),Foraging,Cort,Hormones,NA,NA,Feeding rate in novel environment,Stress-induced Cort levels
99,49,9,0.04,0.04,0.37766198,0.04,NA,0.646,0.37,+,+,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodAdLib,BxP,FeedingRate(nov)xBMR,ForxRMR,ForxMetab,FeedingRate(nov),Foraging,RMR,Metabolism,NA,NA,Feeding rate in novel environment,RMR
100,49,9,0.13,-0.13,0.374757064,-0.13,NA,0.173,0.34,-,-,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodAdLib,BxP,FeedingRate(fam)xHCT,ForxHaemato,ForxImmunity,FeedingRate(fam),Foraging,Haematocrits,Immunity,NA,NA,Feeding rate in home cage,haematocrite
101,49,9,0.42,0.42,0.34301187,0.42,NA,0.204,0.28,+,+,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodAdLib,BxP,FeedingRate(fam)xCort,ForxCort,ForxHormones,FeedingRate(fam),Foraging,Cort,Hormones,NA,NA,Feeding rate in home cage,Stress-induced Cort levels
102,49,9,0.02,0.02,0.377888873,0.02,NA,0.806,0.36,+,+,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodAdLib,BxP,FeedingRate(fam)xBMR,ForxRMR,ForxMetab,FeedingRate(fam),Foraging,RMR,Metabolism,NA,NA,Feeding rate in home cage,RMR
109,49,10,-0.08,0.08,0.352420204,0.08,NA,0.828,0.38,+,-,-1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodRestricted,BxP,FeedingRate(nov)xHCT,ForxHaemato,ForxImmunity,FeedingRate(nov),Foraging,Haematocrits,Immunity,NA,NA,Feeding rate in novel environment,haematocrite
110,49,10,-0.2,-0.2,0.346410162,-0.2,NA,0.587,0.36,-,+,-1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodRestricted,BxP,FeedingRate(nov)xCort,ForxCort,ForxHormones,FeedingRate(nov),Foraging,Cort,Hormones,NA,NA,Feeding rate in novel environment,Stress-induced Cort levels
111,49,10,0.3,0.3,0.337268439,0.3,NA,0.41,0.34,+,+,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodRestricted,BxP,FeedingRate(nov)xBMR,ForxRMR,ForxMetab,FeedingRate(nov),Foraging,RMR,Metabolism,NA,NA,Feeding rate in novel environment,RMR
112,49,10,-0.27,0.27,0.340422532,0.27,NA,0.474,0.35,+,-,-1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodRestricted,BxP,FeedingRate(fam)xHCT,ForxHaemato,ForxImmunity,FeedingRate(fam),Foraging,Haematocrits,Immunity,NA,NA,Feeding rate in home cage,haematocrite
113,49,10,0.05,0.05,0.353111172,0.05,NA,0.891,0.38,+,+,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodRestricted,BxP,FeedingRate(fam)xCort,ForxCort,ForxHormones,FeedingRate(fam),Foraging,Cort,Hormones,NA,NA,Feeding rate in home cage,Stress-induced Cort levels
114,49,10,0.2,0.2,0.346410162,0.2,NA,0.594,0.36,+,+,1,MLMM,Corr,P,Aves,Passeriformes,Taeniopygia guttata,Taeniopygia_guttata,Zebra finches,Vert,Endo,Adult,F,Lab,Y,FoodRestricted,BxP,FeedingRate(fam)xBMR,ForxRMR,ForxMetab,FeedingRate(fam),Foraging,RMR,Metabolism,NA,NA,Feeding rate in home cage,RMR
115,50,29,0.737362668,0.737362668,0.129999472,0.56,127,<0.001,NA,+,+,1,ULMM,LMM,ID,Arachnida,Araneae,Larinioides cornutus,Larinioides_cornutus,Furrow orb spider 1,Invert,Ecto,Adult,Both,Lab,N,NA,BxP,BoldxHeartRate,BoldxHeartRate,BoldxMetab,Antipredator response,Boldness,HeartRate,Metabolism,NA,NA,Latency to resume movement after predatory threat,Heart rate
116,50,9,0.292770022,0.292770022,0.361403161,0.2,17,0.28,NA,+,+,1,ULMM,LMM,ID,Arachnida,Araneae,Larinioides patagiatus,Larinioides_patagiatus,Furrow orb spider 2,Invert,Ecto,Adult,Both,Lab,N,NA,BxP,BoldxHeartRate,BoldxHeartRate,BoldxMetab,Antipredator response,Boldness,HeartRate,Metabolism,NA,NA,Latency to resume movement after predatory threat,Heart rate
117,51,50,0.1,0.1,0.143614066,0.1,NA,NA,NA,+,+,1,Bivariate,Corr,P,Aves,Passeriformes,Ficedula hypoleuca,Ficedula_hypoleuca,Pied Flycatcher,Vert,Endo,Adult,F,Field,N,NA,BxP,BoldXBreathRate,BoldXBreathRate,BoldxMetab,Boldness,Boldness,BreathRate,Metabolism,NA,NA,distance to predator cue,breath rate
118,51,50,0.73,0.73,0.098647098,0.73,NA,NA,NA,+,+,1,Bivariate,Corr,P,Aves,Passeriformes,Ficedula hypoleuca,Ficedula_hypoleuca,Pied Flycatcher,Vert,Endo,Adult,M,Field,N,NA,BxP,BoldXBreathRate,BoldXBreathRate,BoldxMetab,Boldness,Boldness,BreathRate,Metabolism,NA,NA,distance to predator cue,breath rate
119,51,50,-0.15,-0.15,0.142704532,-0.15,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Aves,Passeriformes,Ficedula hypoleuca,Ficedula_hypoleuca,Pied Flycatcher,Vert,Endo,Adult,F,Field,N,NA,BxP,NeophobiaxBreathRate,NeophobiaxBreathRate,NeophobiaxMetab,Neophobia,Neophobia,BreathRate,Metabolism,NA,NA,neophobia,breath rate
120,51,50,0.16,0.16,0.142478068,0.16,NA,NA,NA,+,+,1,Bivariate,Corr,P,Aves,Passeriformes,Ficedula hypoleuca,Ficedula_hypoleuca,Pied Flycatcher,Vert,Endo,Adult,M,Field,N,NA,BxP,NeophobiaxBreathRate,NeophobiaxBreathRate,NeophobiaxMetab,Neophobia,Neophobia,BreathRate,Metabolism,NA,NA,neophobia,breath rate
121,53,51,0.364499663,-0.364499663,0.133029074,-2.74,149,0.029,1.22,-,-,1,LMM,t,ID,Mammalia,Rodentia,Tamias striatus,Tamias_striatus,Eastern chipmunks,Vert,Endo,Adult,F,Field,N,NA,BxLH,ExploxBreedingAge,ExploxBreedingAge,ExploxMaturationRate,Exploration,Exploration,NA,NA,BreedingAge,MaturationRate,Open-Field Exploration Score,Age at first breeding
122,53,52,-0.190043711,0.190043711,0.138844041,1.355,152,0.15,0.937,+,-,-1,LMM,t,ID,Mammalia,Rodentia,Tamias striatus,Tamias_striatus,Eastern chipmunks,Vert,Endo,Adult,M,Field,N,NA,BxLH,ExploxBreedingAge,ExploxBreedingAge,ExploxMaturationRate,Exploration,Exploration,NA,NA,BreedingAge,MaturationRate,Open-Field Exploration Score,Age at first breeding
123,54,86,0.8344,0.8344,0.060136416,0.8344,NA,NA,NA,+,+,1,MM,Corr,ID,Malacostraca,Decapoda,Cherax destructor,Cherax_destructor,Common yabby crayfishes,Invert,Ecto,Juv,Both,Lab,N,NA,BxLH,BoldxGR,BoldxGR,BoldxGR,Boldness,Boldness,NA,NA,GR,GR,Time spent outside burrow (night),Growth Rate
124,54,86,0.6587,0.6587,0.08209419,0.6587,NA,NA,NA,+,+,1,MM,Corr,ID,Malacostraca,Decapoda,Cherax destructor,Cherax_destructor,Common yabby crayfishes,Invert,Ecto,Juv,Both,Lab,N,NA,BxLH,BoldxGR,BoldxGR,BoldxGR,Boldness,Boldness,NA,NA,GR,GR,Time spent outside burrow (day),Growth Rate
125,54,86,0.6373,-0.6373,0.084081077,-0.6373,NA,NA,NA,-,-,1,MM,Corr,ID,Malacostraca,Decapoda,Cherax destructor,Cherax_destructor,Common yabby crayfishes,Invert,Ecto,Juv,Both,Lab,N,NA,BxLH,BoldxGR,BoldxGR,BoldxGR,Boldness,Boldness,NA,NA,GR,GR,Latency to feed following disturbance,Growth Rate
126,56,60,0.46,0.46,0.116589465,0.46,NA,<0.001,NA,+,+,1,Bivariate,Corr,P,Insecta,Coleoptera,Tenebrio molitor,Tenebrio_molitor,Mealworm beetles,Invert,Ecto,Adult,M,Lab,N,NA,BxP,BoldxRMR,BoldxRMR,BoldxMetab,Antipredator response,Boldness,RMR,Metabolism,NA,NA,latency to become immobile following simulated predatory attack (home),RMR
127,56,60,0.48,0.48,0.115190996,0.48,NA,<0.001,NA,+,+,1,Bivariate,Corr,P,Insecta,Coleoptera,Tenebrio molitor,Tenebrio_molitor,Mealworm beetles,Invert,Ecto,Adult,M,Lab,N,NA,BxP,BoldxRMR,BoldxRMR,BoldxMetab,Antipredator response,Boldness,RMR,Metabolism,NA,NA,latency to become immobile following simulated predatory attack (arena),RMR
128,56,60,0.39,-0.39,0.120908914,-0.39,NA,0.002,NA,-,-,1,Bivariate,Corr,P,Insecta,Coleoptera,Tenebrio molitor,Tenebrio_molitor,Mealworm beetles,Invert,Ecto,Adult,M,Lab,N,NA,BxP,BoldxRMR,BoldxRMR,BoldxMetab,Antipredator response,Boldness,RMR,Metabolism,NA,NA,Tonic immobility following simulated predatory attack (home),RMR
129,56,60,0.29,-0.29,0.125663755,-0.29,NA,0.021,NA,-,-,1,Bivariate,Corr,P,Insecta,Coleoptera,Tenebrio molitor,Tenebrio_molitor,Mealworm beetles,Invert,Ecto,Adult,M,Lab,N,NA,BxP,BoldxRMR,BoldxRMR,BoldxMetab,Antipredator response,Boldness,RMR,Metabolism,NA,NA,Tonic immobility following simulated predatory attack (arena),RMR
130,57,335,-0.070034606,0.070034606,0.054665105,0.005,317,<0.001,0.004,-,+,-1,LMM,Reg,ID,Aves,Passeriformes,Parus major,Parus_major,Great tits,Vert,Endo,Adult,M,Lab,N,NA,BxP,ActxRMR,ActxRMR,ActxMetab,Activity,Activity,RMR,Metabolism,NA,NA,Activity PC Score,RMR
131,57,345,-0.120769791,-0.120769791,0.053599711,-0.011,327,0.26,0.005,-,+,-1,LMM,Reg,ID,Aves,Passeriformes,Parus major,Parus_major,Great tits,Vert,Endo,Adult,F,Lab,N,NA,BxP,ActxRMR,ActxRMR,ActxMetab,Activity,Activity,RMR,Metabolism,NA,NA,Activity PC Score,RMR
132,58,57,-0.32,-0.32,0.127749755,-0.32,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Amphibia,Caudata,Desmognathus brimleyorum,Desmognathus_brimleyorum,Dusky salamanders,Vert,Ecto,Adult,M,Lab,N,NA,BxP,ExploxSMR,ExploxRMR,ExploxMetab,Exploration,Exploration,RMR,Metabolism,NA,NA,exploration distance covered novel environment,SMR
133,58,57,-0.6,-0.6,0.107871978,-0.6,NA,NA,NA,-,+,-1,Bivariate,Corr,ID,Amphibia,Caudata,Desmognathus brimleyorum,Desmognathus_brimleyorum,Dusky salamanders,Vert,Ecto,Adult,M,Lab,N,NA,BxP,ExploxSMR,ExploxRMR,ExploxMetab,Exploration,Exploration,RMR,Metabolism,NA,NA,exploration distance covered novel environment,SMR
134,58,57,0.39,0.39,0.12416265,0.39,NA,NA,NA,+,+,1,Bivariate,Corr,P,Amphibia,Caudata,Desmognathus brimleyorum,Desmognathus_brimleyorum,Dusky salamanders,Vert,Ecto,Adult,M,Lab,N,NA,BxP,FeedingRatexSMR,ForxRMR,ForxMetab,FeedingRate,Foraging,RMR,Metabolism,NA,NA,Flies taken per time unit,SMR
135,58,57,0.6,0.6,0.107871978,0.6,NA,NA,NA,+,+,1,Bivariate,Corr,ID,Amphibia,Caudata,Desmognathus brimleyorum,Desmognathus_brimleyorum,Dusky salamanders,Vert,Ecto,Adult,M,Lab,N,NA,BxP,FeedingRatexSMR,ForxRMR,ForxMetab,FeedingRate,Foraging,RMR,Metabolism,NA,NA,Flies taken per time unit,SMR
136,60,21,-0.102415327,0.102415327,0.228209403,1.1,119,0.01,0.4,+,-,-1,ANOVA,F,P,Aves,Passeriformes,Calidris canutus,Calidris_canutus,Red knots,Vert,Endo,Adult,Both,Field,Y,GizzardMass artificial increase/decrease,BxLH,ExploxSurvival,ExploxSurvival,ExploxLifeSpan,Exploration,Exploration,NA,NA,Survival,Life-Span,Time spent searching food in novel arena,Survival after release in the wild
137,62,52,0.02,0.02,0.141393069,0.02,NA,NA,NA,+,+,1,MLMM,Corr,ID,Insecta,Orthopetra,Acheta domesticus,Acheta_domesticus,Field crickets,Invert,Ecto,Juv,Both,Lab,N,NA,BxP,ActxRMR,ActxRMR,ActxMetab,Activity,Activity,RMR,Metabolism,NA,NA,Open-Field Activity,RMR
138,62,52,-0.15,0.15,0.139821315,0.15,NA,NA,NA,+,-,-1,MLMM,Corr,ID,Insecta,Orthopetra,Acheta domesticus,Acheta_domesticus,Field crickets,Invert,Ecto,Juv,Both,Lab,N,NA,BxP,ExploxRMR,ExploxRMR,ExploxMetab,Exploration,Exploration,RMR,Metabolism,NA,NA,Open-Field Exploration,RMR
144,63,157,-0.007,-0.007,0.080319965,-0.007,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Mammalia,Rodentia,Urocitellus beldingi,Urocitellus_beldingi,Belding's ground squirrels,Vert,Endo,Adult,Both,Field,N,NA,BxP,ExploxCort,ExploxCort,ActxHormones,Activity,Activity,Cort,Hormones,NA,NA,exploration distance covered novel environment,faecal cortisol
146,63,157,-0.028,-0.028,0.080290441,-0.028,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Mammalia,Rodentia,Urocitellus beldingi,Urocitellus_beldingi,Belding's ground squirrels,Vert,Endo,Adult,Both,Field,N,NA,BxP,ExploxCort,ExploxCort,ActxHormones,Activity,Activity,Cort,Hormones,NA,NA,exploration distance covered novel environment,faecal cortisol
