Study,LAT DD,LONG DD,Year,Species,Common name,Family,Sample_size_control,Sample_size_treatment,Stressor,control_level_stressor,treatment_level_stressor,Replicates,measurement,control_mean,control variance type,control_variance,treatment_mean,treatment variance type,treatment_variance,developmental_stage,duration expt,acclimatisation,notes,...25
"42. J. Norkko, C. A. Pilditch, S. F. Thrush, R. M. G. Wells, Effects of food availability and hypoxia on bivalves: the value of using multiple parameters to measure bivalve condition in environmental studies. Marine Ecology Progress Series 298, 205-218 (2005).",176.020151,-37.60931,2005,Paphies australis,pipi wedge clam,Mesodesmatidae,50,50,O2,100,40,1,condition index,135.1,se,3.8,106.4,se,3,juvenile,24 days,10 days,"fig2  se not shown for hypoxic treatment. Described as ""similar variance"" which would equate to about 3, but this is a reverse engineering of the se.",NA
"43. M. X. Peng et al., Survival, growth and physiology of marine bivalve (Sinonovacula constricta) in long-term low-salt culture. Scientific Reports 9, (2019).",121.640019,29.105502,2019,Sinonovacula constricta,"constricted tagelus, Chinese razor clam or Agemaki clam",Pharidae,300,300,salinity,6 mmol/l,0.5,3,shell height growth rate %/day,0.57,se,0.1,0.9,se,0.1,juvenile,3 months/ 100 days,10 days,fig 2,NA
"44. A. M. Pereira et al., Larval hatching and development of the wedge shell (Donax trunculus L.) under increased CO2 in southern Portugal. Regional Environmental Change 16, 855-864 (2016).",-9.085249,38.762951,2016,Donax trunculus,wedge clam,Donacidae,150,150,pH,7.93,7.54,3,diameter,104,se,1.1,106.1,se,0.9,Egg/larva,9 days,none,fig5,NA
"45. J. Perez-Larruscain, M. Delgado, J. I. Gairin, Larval growth and development of the smooth clam Callista chione (Mollusca: Bivalvia) under laboratory conditions. Ciencias Marinas 37, 271-277 (2011).",2.58786,41.571736,2011,Callista chione,smooth clam /  Brown venus,Veneridae,50,50,temperature,19,23,5,length,223.1,sd,11.2,230.2,sd,17.8,Egg/larva,53 days,none,fig2,NA
"48. P. Range et al., Seawater acidification by CO2 in a coastal lagoon environment: Effects on life history traits of juvenile mussels Mytilus galloprovincialis. Journal of Experimental Marine Biology and Ecology 424, 89-98 (2012).",-8.17961,43.416512,2012,Mytilus galloprovincialis,Mediterranean mussel,Mytilidae,600,600,pH,7.88,7.6,3,condition index,9.17,se,0.07,8.96,se,0.4,juvenile,84 days,no,table 5,NA
"5. J. A. Berge, B. Bjerkeng, O. Pettersen, M. T. Schaanning, S. Oxnevad, Effects of increased sea water concentrations of CO2 on growth of the bivalve Mytilus edulis L. Chemosphere 62, 681-687 (2006).",10.837864,59.154257,2006,Mytilus edulis,blue mussel,Mytilidae,50,50,pH,8.1,7.6,1,length (large mussels),21,SD,1.85,21,SD,1.57,juvenile,44 days,no,table 1,NA
"5. J. A. Berge, B. Bjerkeng, O. Pettersen, M. T. Schaanning, S. Oxnevad, Effects of increased sea water concentrations of CO2 on growth of the bivalve Mytilus edulis L. Chemosphere 62, 681-687 (2006).",10.837864,59.154257,2006,Mytilus edulis,blue mussel,Mytilidae,50,50,pH,8.1,7.6,1,length (small mussels,10.8,SD,1.05,11.5,SD,1.42,juvenile,44 days,no,table 1,NA
"50. J. M. Riascos, C. M. Avalos, A. S. Pacheco, O. Heilmayer, Testing stress responses of the bivalve Protothaca thaca to El Nino-La Nina thermal conditions. Marine Biology Research 8, 654-661 (2012).",-70.46054,-23.571722,2012,Protothaca thaca,greater litleneck clam,Veneridae,36,36,temperature,16,20,3,CI,1.39,se,0.2,1.42,se,0.2,Adult,60,30 days,fig2,NA
"51. H. U. Riisgard, P. S. Larsen, R. Turja, K. Lundgreen, Dwarfism of blue mussels in the low saline Baltic Sea - growth to the lower salinity limit. Marine Ecology Progress Series 517, 181-192 (2014).",20.869774,60.187867,2014,Mytilus edulis and M. trossulus hybrids,mussels,Mytilidae,10,10,salinity,20,7,1,shell length mm,17.9,sd,0.8,15.4,sd,0.3,Adult,"15 days (used 14 days for control although it wenton until 35 days, so it was comparable with the low salinity treatment",2 days,table 1,NA
"52. C. Sanchez-Lazo, I. Martinez-Pita, Effect of temperature on survival, growth and development of Mytilus galloprovincialis larvae. Aquaculture Research 43, 1127-1133 (2012).",-5.289466,36.237661,2012,Mytilus galloprovincialis,Mediterranean mussel,Mytilidae,30,30,temperature,20,24,3,growth rate,9.06,se,1.2,8.71,se,0.4,Egg/larva,16 days,no,table 1,NA
"53. T. Sanders, L. Schmittmann, J. C. Nascimento-Schulze, F. Melzner, High Calcification Costs Limit Mussel Growth at Low Salinity. Frontiers in Marine Science 5, (2018).",10.24324,54.494733,2018,Mytilus edulis and M. trossulus hybrids,mussels,Mytilidae,40,40,salinity,16,6,4,tissue growth um/day,21.2,se,1.2,13.3,se,2,Adult,8 weeks,no,fig1,NA
"53. T. Sanders, L. Schmittmann, J. C. Nascimento-Schulze, F. Melzner, High Calcification Costs Limit Mussel Growth at Low Salinity. Frontiers in Marine Science 5, (2018).",10.24324,54.494733,2018,Mytilus edulis and M. trossulus hybrids,mussels,Mytilidae,40,40,temperature,8,18,4,tissue growth um/day,21.2,se,1.2,41.4,se,8,Adult,8 weeks,no,fig1,NA
"53. T. Sanders, L. Schmittmann, J. C. Nascimento-Schulze, F. Melzner, High Calcification Costs Limit Mussel Growth at Low Salinity. Frontiers in Marine Science 5, (2018).",10.24324,54.494733,2018,Mytilus edulis and M. trossulus hybrids,mussels,Mytilidae,40,40,temperature + salinity,16 and 8,6 and 18,4,tissue growth um/day,21.2,se,1.2,19.4,se,3.8,Adult,8 weeks,no,fig1,NA
"55. Y. Y. Shang et al., Diel-cycling seawater acidification and hypoxia impair the physiological and growth performance of marine mussels. Science of the Total Environment 722, (2020).",122.772335,30.704086,2020,Mytilus coruscus,hard-shelled mussel,Mytilidae,30,30,O2,8,2,3,CI,4.4,sd,0.1,1.9,sd,0.1,Adult,3 weeks,2 weeks,fig5,NA
"55. Y. Y. Shang et al., Diel-cycling seawater acidification and hypoxia impair the physiological and growth performance of marine mussels. Science of the Total Environment 722, (2020).",122.772335,30.704086,2020,Mytilus coruscus,hard-shelled mussel,Mytilidae,30,30,pH,8.1,7.3,3,CI,4.4,sd,0.1,2,sd,0.1,Adult,3 weeks,2 weeks,fig5,NA
"55. Y. Y. Shang et al., Diel-cycling seawater acidification and hypoxia impair the physiological and growth performance of marine mussels. Science of the Total Environment 722, (2020).",122.772335,30.704086,2020,Mytilus coruscus,hard-shelled mussel,Mytilidae,30,30,pH + O2,8.1 and 8,7.3 and 2,3,CI,4.4,sd,0.1,1.2,sd,0.1,Adult,3 weeks,2 weeks,fig5,NA
"56. A. Sokolowski, D. Brulinska, Z. Mirny, D. Burska, D. Pryputniewicz-Flis, Differing responses of the estuarine bivalve Limecola balthica to lowered water pH caused by potential CO2 leaks from a sub-seabed storage site in the Baltic Sea: An experimental study. Marine Pollution Bulletin 127, 761-773 (2018).",19.138694,54.555613,2018,Macoma balthica / Limecola balthica,Baltic tellin,Tellinidae,175,175,pH,7.7,7,5,CI,9.1,se,0.4,8.7,se,0.4,Adult,56 days,1C/ day for 6 days,fig6,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mytilus edulis,blue mussel,Mytilidae,15,15,O2,7,2,4,dry tissue weight g,0.307,se,0.055,0.077,se,0.055,juvenile,4weeks,no,fig3,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mytilus edulis,blue mussel,Mytilidae,20,20,O2,7.1,3.6,4,dry tissue weight g,0.244,se,0.044,0.261,se,0.057,juvenile,4weeks,no,fig4 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mytilus edulis,blue mussel,Mytilidae,15,15,pH,8,7.2,4,dry tissue weight g,0.307,se,0.055,0.289,se,0.055,juvenile,4weeks,no,fig3,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mytilus edulis,blue mussel,Mytilidae,20,20,pH,7.9,7.3,4,dry tissue weight g,0.244,se,0.044,0.313,se,0.091,juvenile,4weeks,no,fig4 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mytilus edulis,blue mussel,Mytilidae,15,15,pH + O2,"pH 8, O2 7","pH 7.2, O2 2",4,dry tissue weight g,0.307,se,0.055,0.14,se,0.055,juvenile,4weeks,no,fig3,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mytilus edulis,blue mussel,Mytilidae,20,20,pH + O2,"pH7.9, O2 7.1",pH7.3 O2 3.3,4,dry tissue weight g,0.244,se,0.044,0.247,se,0.039,juvenile,4weeks,no,fig4 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mytilus edulis,blue mussel,Mytilidae,20,20,pH + temperature,temp 20 pH 7.9,temp 25 pH 7.4,4,dry tissue weight g,0.244,se,0.044,0.361,se,0.16,juvenile,4weeks,no,fig4 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mytilus edulis,blue mussel,Mytilidae,20,20,temperature,20,25,4,dry tissue weight g,0.244,se,0.044,0.33,se,0.283,juvenile,4weeks,no,fig4 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mytilus edulis,blue mussel,Mytilidae,20,20,temperature + O2,temp 20 O2?,temp 25 O2 3.3,4,dry tissue weight g,0.244,se,0.044,0.422,se,0.206,juvenile,4weeks,no,fig4 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mytilus edulis,blue mussel,Mytilidae,20,20,temperature + pH + O2,temp 20 pH 7.9 O2?,temp 25 pH 7.4O2 3.1,4,dry tissue weight g,0.244,se,0.044,0.24,se,0.096,juvenile,4weeks,no,fig4 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Crassostrea virginica,Eastern oyster,Ostreidae,15,15,O2,7,2,4,dry tissue weight g,0.213,se,0.031,0.156,se,0.023,juvenile,4weeks,no,fig2,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Crassostrea virginica,Eastern oyster,Ostreidae,15,15,O2,7.1,3.6,4,dry tissue weight g,0.276,se,0.034,0.26,se,0.034,juvenile,4weeks,no,fig5 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Crassostrea virginica,Eastern oyster,Ostreidae,15,15,pH,8,7.2,4,dry tissue weight g,0.213,se,0.031,0.205,se,0.03,juvenile,4weeks,no,fig2,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Crassostrea virginica,Eastern oyster,Ostreidae,15,15,pH,7.9,7.3,4,dry tissue weight g,0.276,se,0.034,0.276,se,0.033,juvenile,4weeks,no,fig5 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Crassostrea virginica,Eastern oyster,Ostreidae,15,15,pH + O2,"pH 8, O2 7","pH 7.2, O2 2",4,dry tissue weight g,0.213,se,0.031,0.185,se,0.028,juvenile,4weeks,no,fig2,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Crassostrea virginica,Eastern oyster,Ostreidae,15,15,pH + O2,"pH7.9, O2 7.1",pH7.3 O2 3.3,4,dry tissue weight g,0.276,se,0.034,0.255,se,0.027,juvenile,4weeks,no,fig5 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Crassostrea virginica,Eastern oyster,Ostreidae,15,15,pH + temperature,temp 20 pH 7.9,temp 25 pH 7.4,4,dry tissue weight g,0.276,se,0.034,0.236,se,0.028,juvenile,4weeks,no,fig5 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Crassostrea virginica,Eastern oyster,Ostreidae,15,15,temperature,20,25,4,dry tissue weight g,0.276,se,0.034,0.219,se,0.021,juvenile,4weeks,no,fig5 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Crassostrea virginica,Eastern oyster,Ostreidae,15,15,temperature + O2,temp 20 pH 7.9,temp 25 O2 3.3,4,dry tissue weight g,0.276,se,0.034,0.227,se,0.021,juvenile,4weeks,no,fig5 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Crassostrea virginica,Eastern oyster,Ostreidae,15,15,temperature + pH + O2,temp 20 pH 7.9,temp 25 pH 7.4O2 3.1,4,dry tissue weight g,0.276,se,0.034,0.194,se,0.017,juvenile,4weeks,no,fig5 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Argopecten irradians,bay scallop,Pectinidae,15,15,O2,7,2,4,dry tissue weight g,0.061,se,0.021,0.004,se,0.02,juvenile,4weeks,no,fig1,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Argopecten irradians,bay scallop,Pectinidae,15,15,O2,7.1,3.6,4,dry tissue weight g,0.141,se,0.025,0.138,se,0.027,juvenile,4weeks,no,fig6 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Argopecten irradians,bay scallop,Pectinidae,15,15,pH,8,7.2,4,dry tissue weight g,0.061,se,0.021,0.092,se,0.021,juvenile,4weeks,no,fig1,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Argopecten irradians,bay scallop,Pectinidae,15,15,pH,7.9,7.3,4,dry tissue weight g,0.141,se,0.025,0.152,se,0.045,juvenile,4weeks,no,fig6 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Argopecten irradians,bay scallop,Pectinidae,15,15,pH + O2,"pH 8, O2 7","pH 7.2, O2 2",4,dry tissue weight g,0.061,se,0.021,0.01,se,0.021,juvenile,4weeks,no,fig1,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Argopecten irradians,bay scallop,Pectinidae,15,15,pH + O2,"pH7.9, O2 7.1",pH7.3 O2 3.3,4,dry tissue weight g,0.141,se,0.025,0.212,se,0.043,juvenile,4weeks,no,fig6 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Argopecten irradians,bay scallop,Pectinidae,15,15,pH + temperature,temp 20 pH 7.9,temp 25 pH 7.4,4,dry tissue weight g,0.141,se,0.025,0.128,se,0.024,juvenile,4weeks,no,fig6 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Argopecten irradians,bay scallop,Pectinidae,15,15,temperature,20,25,4,dry tissue weight g,0.141,se,0.025,0.109,se,0.006,juvenile,4weeks,no,fig6 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Argopecten irradians,bay scallop,Pectinidae,15,15,temperature + O2,temp 20 pH 7.9,temp 25 O2 3.3,4,dry tissue weight g,0.141,se,0.025,0.132,se,0.03,juvenile,4weeks,no,fig6 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Argopecten irradians,bay scallop,Pectinidae,15,15,temperature + pH + O2,temp 20 pH 7.9,temp 25 pH 7.4O2 3.1,4,dry tissue weight g,0.141,se,0.025,0.152,se,0.045,juvenile,4weeks,no,fig6 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,15,15,O2,7.1,3.6,4,dry tissue weight g,0.158,se,0.015,0.123,se,0.023,juvenile,4weeks,no,fig8 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,15,15,pH,7.9,7.3,4,dry tissue weight g,0.158,se,0.015,0.063,se,0.016,juvenile,4weeks,no,fig8 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,15,15,pH + O2,"pH7.9, O2 7.1",pH7.3 O2 3.3,4,dry tissue weight g,0.158,se,0.015,0.071,se,0.017,juvenile,4weeks,no,fig8 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,15,15,pH + temperature,temp 20 pH 7.9,temp 25 pH 7.4,4,dry tissue weight g,0.158,se,0.015,0.117,se,0.01,juvenile,4weeks,no,fig8 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,15,15,temperature,20,25,4,dry tissue weight g,0.158,se,0.015,0.186,se,0.007,juvenile,4weeks,no,fig8 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,15,15,temperature + O2,temp 20 pH 7.9,temp 25 O2 3.3,4,dry tissue weight g,0.158,se,0.015,0.214,se,0.032,juvenile,4weeks,no,fig8 S10,NA
"58. A. M. Stevens, C. J. Gobler, Interactive effects of acidification, hypoxia, and thermal stress on growth, respiration, and survival of four North Atlantic bivalves. Marine Ecology Progress Series 604, 143-161 (2018).",-72.079407,41.029842,2018,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,15,15,temperature + pH + O2,temp 20 pH 7.9,temp 25 pH 7.4O2 3.1,4,dry tissue weight g,0.158,se,0.015,0.085,se,0.005,juvenile,4weeks,no,fig8 S10,NA
"59. A. M. Stoeckmann, D. W. Garton, Flexible energy allocation in zebra mussels (Dreissena polymorpha) in response to different environmental conditions. Journal of the North American Benthological Society 20, 486-500 (2001).",-82.825467,41.657692,2001,Dreissena polymorpha,zebra mussel ,Dreissenidae,35,35,temperature,24,30,1,shell length mm,0.21,se,0.033,0.129,se,0.035,Adult,7weeks,2weeks,fig3,NA
"60. S. C. Talmage, C. J. Gobler, The effects of elevated carbon dioxide concentrations on the metamorphosis, size, and survival of larval hard clams (Mercenaria mercenaria), bay scallops (Argopecten irradians), and Eastern oysters (Crassostrea virginica). Limnology and Oceanography 54, 2072-2080 (2009).",-72.476386,40.843426,2009,Crassostrea virginica,Eastern oyster,Ostreidae,15,15,pH,8,7.8,4,larval length um,359.76,se,10.65,261.54,se,11.84,Egg/larva,20 days,no,fig2 table 1,NA
"60. S. C. Talmage, C. J. Gobler, The effects of elevated carbon dioxide concentrations on the metamorphosis, size, and survival of larval hard clams (Mercenaria mercenaria), bay scallops (Argopecten irradians), and Eastern oysters (Crassostrea virginica). Limnology and Oceanography 54, 2072-2080 (2009).",-72.476386,40.843426,2009,Argopecten irradians,bay scallop,Pectinidae,15,15,pH,8,7.8,4,larval length um,400,se,6.19,200.62,se,8.67,Egg/larva,19 days,no,fig2 table 1,NA
"60. S. C. Talmage, C. J. Gobler, The effects of elevated carbon dioxide concentrations on the metamorphosis, size, and survival of larval hard clams (Mercenaria mercenaria), bay scallops (Argopecten irradians), and Eastern oysters (Crassostrea virginica). Limnology and Oceanography 54, 2072-2080 (2009).",-72.476386,40.843426,2009,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,15,15,pH,8,7.8,4,larval length um,221.23,se,9.59,172.6,se,4.79,Egg/larva,18 days,no,fig2 table 1,NA
"61. S. C. Talmage, C. J. Gobler, Effects of past, present, and future ocean carbon dioxide concentrations on the growth and survival of larval shellfish. Proceedings of the National Academy of Sciences of the United States of America 107, 17246-17251 (2010).",-72.108736,41.004224,2010,Argopecten irradians,bay scallop,Pectinidae,15,15,pH,8.2,7.8,4,diameter um,530.7,sd,50.4,382.2,sd,25.2,Egg/larva,18 days,no,fig2,NA
"61. S. C. Talmage, C. J. Gobler, Effects of past, present, and future ocean carbon dioxide concentrations on the growth and survival of larval shellfish. Proceedings of the National Academy of Sciences of the United States of America 107, 17246-17251 (2010).",-72.108736,41.004224,2010,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,15,15,pH,8.2,7.8,4,diameter um,522.8,sd,36.2,279.4,sd,11,Egg/larva,24 days,no,fig2,NA
"62. S. C. Talmage, C. J. Gobler, Effects of Elevated Temperature and Carbon Dioxide on the Growth and Survival of Larvae and Juveniles of Three Species of Northwest Atlantic Bivalves. Plos One 6, (2011).",-72.108736,41.004224,2011,Argopecten irradians,bay scallop,Pectinidae,15,15,pH,8.1,7.6,4,diameter um,532.58,sd,32,347.19,sd,35.4,juvenile,45,no,fig2,NA
"62. S. C. Talmage, C. J. Gobler, Effects of Elevated Temperature and Carbon Dioxide on the Growth and Survival of Larvae and Juveniles of Three Species of Northwest Atlantic Bivalves. Plos One 6, (2011).",-72.108736,41.004224,2011,Argopecten irradians,bay scallop,Pectinidae,15,15,pH + temperature,8.1 and 24,7.6 and 28,4,diameter um,532.58,sd,32,311.8,sd,32,juvenile,45,no,fig2,NA
"62. S. C. Talmage, C. J. Gobler, Effects of Elevated Temperature and Carbon Dioxide on the Growth and Survival of Larvae and Juveniles of Three Species of Northwest Atlantic Bivalves. Plos One 6, (2011).",-72.108736,41.004224,2011,Argopecten irradians,bay scallop,Pectinidae,15,15,temperature,24,28,4,diameter um,532.58,sd,32,510.67,sd,27,juvenile,45,no,fig2,NA
"62. S. C. Talmage, C. J. Gobler, Effects of Elevated Temperature and Carbon Dioxide on the Growth and Survival of Larvae and Juveniles of Three Species of Northwest Atlantic Bivalves. Plos One 6, (2011).",-72.108736,41.004224,2011,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,15,15,pH,8.1,7.6,4,diameter um,552.07,sd,39.1,353.25,sd,39.1,juvenile,45,no,fig1,NA
"62. S. C. Talmage, C. J. Gobler, Effects of Elevated Temperature and Carbon Dioxide on the Growth and Survival of Larvae and Juveniles of Three Species of Northwest Atlantic Bivalves. Plos One 6, (2011).",-72.108736,41.004224,2011,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,15,15,pH + temperature,8.1 and 24,7.6 and 28,4,diameter um,552.07,sd,39.1,324.85,sd,17.75,juvenile,45,no,fig1,NA
"62. S. C. Talmage, C. J. Gobler, Effects of Elevated Temperature and Carbon Dioxide on the Growth and Survival of Larvae and Juveniles of Three Species of Northwest Atlantic Bivalves. Plos One 6, (2011).",-72.108736,41.004224,2011,Mercenaria mercenaria,hard clam / hard-shelled clam / quahog,Veneridae,15,15,temperature,24,28,4,diameter um,552.07,sd,39.1,521.89,sd,26.6,juvenile,45,no,fig1,NA
