lab,es_id,yi_r,vi_r,yi_d,vi_d,ni,country,weird,western,educated,industrialized,rich,democratic,mean_weird_score,online,analysis
tamu,201,0.73357000000000006,0.00222,2.13644,0.06476,99,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
tilburg,202,0.71371,0.00256,2.01632,0.0635,97,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Miyamoto.1
tilburgcaf,203,0.73371,0.0028,2.13144,0.08145,79,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Miyamoto.1
tilburgcomm,204,0.76945,0.00168,2.3852,0.06845,102,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,online,Miyamoto.1
toronto,205,0.68277,8.2e-4,1.86364,0.01644,351,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Miyamoto.1
tufts,206,0.53915,0.00592,1.26535,0.05582,88,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
ubc,207,0.66815,0.00393,1.77314,0.07053,81,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Miyamoto.1
ucron,208,0.67677,0.00297,1.82009,0.05656,102,Costa Rica,0,1,0.65,0.1,0,0.72,0.49399999999999994,online,Miyamoto.1
udd,209,0.65675,0.00359,1.72254,0.06026,93,Chile,1,1,0.75,1,0,0.73,0.696,lab,Miyamoto.1
ufl,210,0.69857,0.00234,1.93521,0.05197,115,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
uiuc,211,0.66024,0.00158,1.74946,0.02738,204,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
umich,212,0.60136,0.00479,1.48773,0.05938,88,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
unam,213,0.69095,0.00194,1.89807,0.04085,144,Mexico,0,1,0.64,0.13,0,0.58,0.47000000000000003,online,Miyamoto.1
unibelgrade,214,0.65439,0.00419,1.70877,0.06911,81,Serbia,0,1,0.7,0.04,0,0.62,0.472,lab,Miyamoto.1
uva,215,0.68238,0.00344,1.84461,0.06787,86,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
vuamsterdam,216,0.68127,0.00312,1.84119,0.06124,95,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Miyamoto.1
vuw,217,0.6368,0.00361,1.63507,0.05391,101,New Zealand,1,1,0.92,0.35,1,0.82,0.818,online,Miyamoto.1
washlee,218,0.57063,0.00484,1.37504,0.05206,97,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
wilfredlaur,219,0.73217,0.0025,2.12506,0.07193,89,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Miyamoto.1
williampat,220,0.6902,0.00228,1.8918,0.04785,123,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
winchester,221,0.74969,0.00138,2.24944,0.04664,142,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Miyamoto.1
wpi,222,0.71445,0.00289,2.01774,0.07185,86,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Miyamoto.1
wroclaw,223,0.73895,0.00219,2.1703,0.0669,97,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Miyamoto.1
zhejiang,224,0.6449,0.00411,1.66741,0.06417,86,China,0,0,0.61,0.08,0,0.74,0.286,NA,Miyamoto.1
aus,225,-0.02867,0.01189,-0.0576,0.04859,85,United Arab Emirates,0,0,0.67,0.4,0,0.4,0.29400000000000004,lab,Critcher.1
badaniaon,226,0.21425,0.02758,0.42634,0.12073,34,Poland,1,1,0.83,0.19,1,0.71,0.746,online,Critcher.1
bc,227,0,0.01299,0,0.05128,78,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
bilgi,228,-0.03174,0.00684,-0.06311,0.02726,147,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Critcher.1
brasilia,229,0.03404,0.01061,0.0674,0.04213,95,Brazil,0,1,0.66,0.08,0,0.65,0.47800000000000004,lab,Critcher.1
cas,230,0.17208,0.01962,0.34224,0.08286,49,China,0,0,0.61,0.08,0,0.74,0.286,lab,Critcher.1
doshisha,231,0.06956,0.00892,0.13929,0.03637,112,Japan,0,0,0.81,0.8,1,0.75,0.672,lab,Critcher.1
eindhoven,232,-0.03544,0.01039,-0.07029,0.04137,97,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Critcher.1
elte,233,0.0133,0.01176,0.02632,0.04662,86,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Critcher.1
grazvienna,234,-0.20939,0.00781,-0.42616,0.03491,118,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Critcher.1
hawaiion,235,0.10872,0.01028,0.21686,0.04208,96,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Critcher.1
hkust,236,-0.07134,0.01151,-0.14163,0.04624,87,"Hong Kong, China",0,0,0.77,0.08,0,0.74,0.31799999999999995,lab,Critcher.1
hunancomp,237,-0.00674,0.00787,-0.01338,0.03125,128,China,0,0,0.61,0.08,0,0.74,0.286,online,Critcher.1
ithaca,238,0.06192,0.01289,0.12247,0.05138,78,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
johannesburg,239,-0.07942,0.02015,-0.15612,0.08024,50,South Africa,0,1,0.7,0.09,0,0.55,0.46799999999999997,online,Critcher.1
koc,240,0.25859,0.01049,0.54811,0.05291,84,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Critcher.1
lausanne,241,0.03245,0.00941,0.06456,0.03767,107,Switzerland,1,1,0.84,1,1,0.87,0.942,online,Critcher.1
leuven,242,-0.19026,0.00911,-0.38692,0.04019,103,Belgium,1,1,0.81,0.4531,1,0.82,0.81662,lab,Critcher.1
lundon,243,-0.06583,0.00944,-0.13107,0.03803,106,Sweden,1,1,0.83,0.71,1,0.87,0.882,online,Critcher.1
marian,244,-0.06432,0.01305,-0.12854,0.05314,77,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
mturk,245,0.02161,0.0031,0.04316,0.01242,323,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Critcher.1
mturk_india,246,0.01957,0.00302,0.03913,0.01211,332,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,Critcher.1
navarra,247,0.2447,0.01768,0.49485,0.08086,51,Spain,1,1,0.79,0.34,1,0.76,0.7779999999999999,online,Critcher.1
ntnu,248,0.01425,0.01428,0.02823,0.0569,71,Taiwan,0,NA,NA,NA,NA,NA,NA,lab,Critcher.1
occid,249,0.1074,0.01503,0.21276,0.06095,66,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
plu,250,0,0.01053,0,0.04167,96,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
potsdam,251,0.01711,0.0111,0.033890000000000003,0.0441,91,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,online,Critcher.1
pscio,252,0.00599,0.01282,0.01182,0.05064,79,Uruguay,0,1,0.71,0.09,0,0.74,0.508,lab,Critcher.1
psuabington,253,0.22399,0.01128,0.45426,0.05072,81,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
psumain,254,0.1837,0.01213,0.36942,0.05229,78,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
purkyne,255,0.09561,0.00722,0.19069,0.02933,137,Czech Republic,1,1,0.87,0.4,1,0.71,0.796,lab,Critcher.1
sandiegosu,256,0,0.00541,0,0.02151,186,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
santiagoon,257,0.05527,0.01775,0.10876,0.0703,57,Chile,1,1,0.75,1,0,0.73,0.696,online,Critcher.1
swps,258,-0.21006,0.00993,-0.42529,0.04403,93,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Critcher.1
tamu,259,0.21864,0.00944,0.4435,0.04226,97,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
tilburg,260,0.13495,0.01004,0.26959,0.04162,97,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Critcher.1
tilburgcaf,261,0.19624,0.01201,0.3951,0.05228,78,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Critcher.1
tilburgcomm,262,0.14737,0.00938,0.29509,0.03926,103,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,online,Critcher.1
toronto,263,0.04576,0.00293,0.09151,0.01179,341,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Critcher.1
tufts,264,0,0.01099,0,0.04348,92,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
ubc,265,0.08015,0.01219,0.15926,0.0492,82,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Critcher.1
ucron,266,-0.02009,0.01063,-0.03977,0.04212,95,Costa Rica,0,1,0.65,0.1,0,0.72,0.49399999999999994,online,Critcher.1
udd,267,-0.0668,0.01089,-0.13323,0.04409,92,Chile,1,1,0.75,1,0,0.73,0.696,lab,Critcher.1
ufl,268,0,0.0101,0,0.04,100,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
uiuc,269,0,0.00518,0,0.02062,194,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
umich,270,-0.02344,0.01162,-0.04673,0.04674,87,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
unam,271,0.05929,0.00714,0.11892,0.0291,140,Mexico,0,1,0.64,0.13,0,0.58,0.47000000000000003,online,Critcher.1
unibelgrade,272,-0.09554,0.01259,-0.18966,0.05093,79,Serbia,0,1,0.7,0.04,0,0.62,0.472,lab,Critcher.1
uniporto,273,-0.07136,0.02828,-0.14104,0.11456,36,Portugal,1,1,0.73,0.23,1,0.76,0.744,online,Critcher.1
uva,274,0,0.01299,0,0.05128,78,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
vuamsterdam,275,0.19267,0.00997,0.39071,0.04385,94,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Critcher.1
vuw,276,-0.05139,0.01015,-0.1025,0.04096,99,New Zealand,1,1,0.92,0.35,1,0.82,0.818,online,Critcher.1
washlee,277,0,0.01031,0,0.04082,98,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
wilfredlaur,278,0,0.01053,0,0.04167,96,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Critcher.1
williampat,279,-0.15348,0.00808,-0.31202,0.0349,119,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
winchester,280,-0.09295,0.00728,-0.18551,0.0296,136,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Critcher.1
wpi,281,0,0.01333,0,0.05263,76,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Critcher.1
wroclaw,282,-0.03207,0.01121,-0.06403,0.04527,90,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Critcher.1
zhejiang,283,0.21538,0.01491,0.43393,0.06603,62,China,0,0,0.61,0.08,0,0.74,0.286,NA,Critcher.1
aus,284,-0.06663,0.00554,-0.13356,0.02245,90,United Arab Emirates,0,0,0.67,0.4,0,0.4,0.29400000000000004,lab,vanLange.1
badaniaon,285,0.14813,0.01347,0.29957,0.0576,36,Poland,1,1,0.83,0.19,1,0.71,0.746,online,vanLange.1
bc,286,0.06445,0.00675,0.12916,0.02732,74,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
bilgi,287,0.02453,0.00392,0.04908,0.0157,128,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,vanLange.1
brasilia,288,-0.03395,0.00501,-0.06794,0.02012,100,Brazil,0,1,0.66,0.08,0,0.65,0.47800000000000004,lab,vanLange.1
cas,289,-0.12637,0.00739,-0.25479,0.03103,66,China,0,0,0.61,0.08,0,0.74,0.286,lab,vanLange.1
doshisha,290,0.02476,0.00546,0.04953,0.02187,92,Japan,0,0,0.81,0.8,1,0.75,0.672,lab,vanLange.1
elte,291,0.10141,0.00541,0.20387,0.02233,91,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,vanLange.1
grazvienna,292,-0.12494,0.00412,-0.25185,0.01729,118,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,vanLange.1
hawaiion,293,-0.07752,0.00523,-0.1555,0.02129,95,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,vanLange.1
hkust,294,-0.1536,0.00494,-0.3109,0.02123,97,"Hong Kong, China",0,0,0.77,0.08,0,0.74,0.31799999999999995,lab,vanLange.1
hunancomp,295,0.12145,0.00384,0.24471,0.01605,127,China,0,0,0.61,0.08,0,0.74,0.286,online,vanLange.1
ithaca,296,-0.14334,0.00627,-0.28968,0.02669,77,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
johannesburg,297,0.08655,0.00975,0.17375,0.0399,51,South Africa,0,1,0.7,0.09,0,0.55,0.46799999999999997,online,vanLange.1
koc,298,-0.13169,0.00615,-0.26568,0.02593,79,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,vanLange.1
lausanne,299,0.23326,0.00408,0.47976,0.01932,110,Switzerland,1,1,0.84,1,1,0.87,0.942,online,vanLange.1
lundon,300,0.13155,0.00453,0.2654,0.01911,107,Sweden,1,1,0.83,0.71,1,0.87,0.882,online,vanLange.1
marian,301,-0.02128,0.00645,-0.04256,0.02582,78,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
mturk,302,0.05682,0.00157,0.11383,0.00636,316,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,vanLange.1
mturk_india,303,0.08037,0.00147,0.16126,0.006,336,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,vanLange.1
navarra,304,-0.07902,0.0104,-0.15854,0.04237,48,Spain,1,1,0.79,0.34,1,0.76,0.7779999999999999,online,vanLange.1
ntnu,305,0.12426,0.00659,0.25046,0.02764,74,Taiwan,0,NA,NA,NA,NA,NA,NA,lab,vanLange.1
occid,306,0.1248,0.00751,0.25157,0.0315,65,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
plu,307,0.05344,0.00532,0.10703,0.02145,94,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
poitiers,308,-0.08678,0.01159,-0.17421,0.04742,43,France,1,1,0.82,0.38,1,0.79,0.7979999999999999,lab,vanLange.1
potsdam,309,0.10809,0.00558,0.21745,0.02313,88,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,online,vanLange.1
pscio,310,-0.0661,0.00674,-0.1325,0.02733,74,Uruguay,0,1,0.71,0.09,0,0.74,0.508,lab,vanLange.1
psuabington,311,-0.04838,0.00596,-0.09687,0.02401,84,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
psumain,312,-0.15668,0.00614,-0.31728,0.02646,78,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
purkyne,313,0.03013,0.00374,0.06028,0.01499,134,Czech Republic,1,1,0.87,0.4,1,0.71,0.796,lab,vanLange.1
sandiegosu,314,0.12009,0.00285,0.24193,0.0119,171,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
santiagoon,315,-0.0219,0.009,-0.04382,0.03605,56,Chile,1,1,0.75,1,0,0.73,0.696,online,vanLange.1
swps,316,0.19049,0.00543,0.3881,0.02427,86,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,vanLange.1
tamu,317,0.17177,0.00493,0.34873,0.02158,96,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
toronto,318,-0.01804,0.00146,-0.03608,0.00584,343,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,vanLange.1
tufts,319,-0.00624,0.00599,-0.01249,0.02395,84,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
ubc,320,0.08042,0.00637,0.16136,0.02597,78,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,vanLange.1
ucron,321,0.1104,0.00511,0.22216,0.0212,96,Costa Rica,0,1,0.65,0.1,0,0.72,0.49399999999999994,online,vanLange.1
udd,322,0.15222,0.00539,0.30803,0.02313,89,Chile,1,1,0.75,1,0,0.73,0.696,lab,vanLange.1
ufl,323,0.12419,0.00423,0.25031,0.01774,115,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
uiuc,324,0.05465,0.00253,0.10947,0.01021,197,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
umich,325,-0.00315,0.00606,-0.0063,0.02424,83,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
unam,326,-0.0926,0.00352,-0.18601,0.01446,140,Mexico,0,1,0.64,0.13,0,0.58,0.47000000000000003,online,vanLange.1
unibelgrade,327,0.00601,0.00637,0.01203,0.02548,79,Serbia,0,1,0.7,0.04,0,0.62,0.472,lab,vanLange.1
uniporto,328,0.10997,0.01501,0.22128,0.06229,33,Portugal,1,1,0.73,0.23,1,0.76,0.744,online,vanLange.1
uva,329,-0.0679,0.00586,-0.13612,0.02378,85,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
vuw,330,-0.0131,0.00507,-0.0262,0.02031,99,New Zealand,1,1,0.92,0.35,1,0.82,0.818,online,vanLange.1
washlee,331,0.02534,0.00523,0.0507,0.02096,96,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
wilfredlaur,332,0.04128,0.00563,0.08264,0.02264,89,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,vanLange.1
williampat,333,-0.04293,0.0042,-0.08595,0.01691,119,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
winchester,334,0.14594,0.00356,0.29505,0.01519,135,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,vanLange.1
wpi,335,0.12586,0.00609,0.25373,0.02556,80,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,vanLange.1
wroclaw,336,-0.0955,0.00531,-0.19189,0.02182,93,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,vanLange.1
zhejiang,337,0.16735,0.00618,0.33948,0.0269,77,China,0,0,0.61,0.08,0,0.74,0.286,NA,vanLange.1
aus,338,0.57309,0.00834,1.39866,0.11011,89,United Arab Emirates,0,0,0.67,0.4,0,0.4,0.29400000000000004,lab,Hauser.1
badaniaon,339,0.54104,0.01848,1.28667,0.20888,34,Poland,1,1,0.83,0.19,1,0.71,0.746,online,Hauser.1
bc,340,0.60712,0.00706,1.52811,0.11215,73,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
bilgi,341,0.56976,0.0043,1.38661,0.05579,138,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Hauser.1
brasilia,342,0.53475,0.00625,1.26566,0.06869,102,Brazil,0,1,0.66,0.08,0,0.65,0.47800000000000004,lab,Hauser.1
doshisha,343,0.62196,0.00746,1.58858,0.12936,112,Japan,0,0,0.81,0.8,1,0.75,0.672,lab,Hauser.1
eindhoven,344,0.58771,0.00571,1.45282,0.08141,93,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Hauser.1
elte,345,0.77588,0.00537,2.45967,0.3408,91,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Hauser.1
grazvienna,346,0.56754,0.00556,1.37863,0.07145,119,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Hauser.1
hawaiion,347,0.32512,0.01083,0.68759,0.06055,89,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Hauser.1
hkust,348,0.44944,0.01088,1.00624,0.08566,97,"Hong Kong, China",0,0,0.77,0.08,0,0.74,0.31799999999999995,lab,Hauser.1
hunancomp,349,0.43726,0.00848,0.97239,0.06414,118,China,0,0,0.61,0.08,0,0.74,0.286,online,Hauser.1
ithaca,350,0.65484,0.00551,1.73291,0.11821,76,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
johannesburg,351,0.60855,0.01347,1.53383,0.21586,50,South Africa,0,1,0.7,0.09,0,0.55,0.46799999999999997,online,Hauser.1
koc,352,0.62117,0.00631,1.58528,0.10894,74,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Hauser.1
lausanne,353,0.68978,0.00396,1.90541,0.11001,109,Switzerland,1,1,0.84,1,1,0.87,0.942,online,Hauser.1
leuven,354,0.54332,0.00653,1.29436,0.07459,106,Belgium,1,1,0.81,0.4531,1,0.82,0.81662,lab,Hauser.1
lundon,355,0.76606,0.00218,2.3836,0.12374,110,Sweden,1,1,0.83,0.71,1,0.87,0.882,online,Hauser.1
marian,356,0.51093,0.00868,1.18872,0.08607,77,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
mturk,357,0.45425,0.00247,1.01978,0.01975,304,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Hauser.1
mturk_india,358,0.37841,0.00288,0.81763,0.01829,308,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,Hauser.1
navarra,359,0.46408,0.0173,1.04783,0.1433,48,Spain,1,1,0.79,0.34,1,0.76,0.7779999999999999,online,Hauser.1
ntnu,360,0.3363,0.0155,0.7142,0.0889,74,Taiwan,0,NA,NA,NA,NA,NA,NA,lab,Hauser.1
occid,361,0.69785,0.00562,1.94863,0.16648,66,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
plu,362,0.58289,0.0056,1.4347,0.07786,95,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
poitiers,363,0.54952,0.01391,1.31545,0.16356,44,France,1,1,0.82,0.38,1,0.79,0.7979999999999999,lab,Hauser.1
potsdam,364,0.59838,0.00655,1.49369,0.09898,89,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,online,Hauser.1
pscio,365,0.40124,0.01197,0.87609,0.08106,84,Uruguay,0,1,0.71,0.09,0,0.74,0.508,lab,Hauser.1
psuabington,366,0.47399,0.00921,1.07661,0.07903,88,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
psumain,367,0.56125,0.00699,1.35624,0.08697,81,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
purkyne,368,0.44404,0.00562,0.99115,0.04344,140,Czech Republic,1,1,0.87,0.4,1,0.71,0.796,lab,Hauser.1
sandiegosu,369,0.64787,0.00244,1.701,0.0499,171,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
santiagoon,370,0.57031,0.00963,1.38856,0.12542,59,Chile,1,1,0.75,1,0,0.73,0.696,online,Hauser.1
swps,371,0.51619,0.00922,1.20539,0.0934,95,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Hauser.1
tamu,372,0.58379,0.00553,1.43809,0.0772,96,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
tilburg,373,0.69067,0.00371,1.91013,0.10378,95,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Hauser.1
tilburgcaf,374,0.73979,0.00358,2.19905,0.15444,78,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Hauser.1
tilburgcomm,375,0.82719,0.00281,2.94415,0.3566,98,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,online,Hauser.1
toronto,376,0.5246,0.002,1.2324,0.021,325,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Hauser.1
tufts,377,0.53287,0.00789,1.25943,0.08598,79,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
ubc,378,0.49492,0.00915,1.13913,0.08507,76,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Hauser.1
ucron,379,0.56585,0.00678,1.37256,0.08627,97,Costa Rica,0,1,0.65,0.1,0,0.72,0.49399999999999994,online,Hauser.1
udd,380,0.64437,0.00471,1.68527,0.09422,94,Chile,1,1,0.75,1,0,0.73,0.696,lab,Hauser.1
ufl,381,0.6161,0.00421,1.56435,0.07053,113,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
uiuc,382,0.5886,0.0027,1.45616,0.03867,198,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
umich,383,0.65142,0.00519,1.71718,0.10884,84,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
unam,384,0.63827,0.00325,1.65823,0.06241,139,Mexico,0,1,0.64,0.13,0,0.58,0.47000000000000003,online,Hauser.1
unibelgrade,385,0.60966,0.00729,1.53825,0.1175,80,Serbia,0,1,0.7,0.04,0,0.62,0.472,lab,Hauser.1
uniporto,386,0.64299,0.01235,1.67912,0.24486,36,Portugal,1,1,0.73,0.23,1,0.76,0.744,online,Hauser.1
uva,387,0.58551,0.00635,1.44451,0.08954,85,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
vuamsterdam,388,0.4784,0.00791,1.08956,0.06901,92,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,lab,Hauser.1
vuw,389,0.41155,0.00912,0.90312,0.06363,92,New Zealand,1,1,0.92,0.35,1,0.82,0.818,online,Hauser.1
washlee,390,0.65031,0.0048,1.7121,0.0998,96,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
wilfredlaur,391,0.70147,0.00414,1.96851,0.12624,87,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Hauser.1
williampat,392,0.62225,0.00393,1.58977,0.06829,118,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
winchester,393,0.55989,0.0041,1.35145,0.05067,138,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Hauser.1
wpi,394,0.75502,0.00304,2.30291,0.15288,85,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Hauser.1
wroclaw,395,0.54771,0.00803,1.30928,0.09359,96,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Hauser.1
zhejiang,396,0.51278,0.01376,1.19457,0.13745,81,China,0,0,0.61,0.08,0,0.74,0.286,NA,Hauser.1
aus,397,0.04748,0.01199,0.09417,0.04792,84,United Arab Emirates,0,0,0.67,0.4,0,0.4,0.29400000000000004,lab,Anderson.1
bc,398,-0.12185,0.01294,-0.24363,0.05361,76,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Anderson.1
bilgi,399,0.00447,0.00694,0.00888,0.0276,145,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Anderson.1
brasilia,400,-0.0365,0.00997,-0.07241,0.03973,101,Brazil,0,1,0.66,0.08,0,0.65,0.47800000000000004,lab,Anderson.1
cas,401,0.06861,0.01598,0.13536,0.06365,63,China,0,0,0.61,0.08,0,0.74,0.286,lab,Anderson.1
doshisha,402,-0.04234,0.00898,-0.08466,0.03631,112,Japan,0,0,0.81,0.8,1,0.75,0.672,lab,Anderson.1
eindhoven,403,0.01674,0.01052,0.03314,0.04169,96,The Netherlands,1,1,0.89,0.5,1,0.84,0.8460000000000001,NA,Anderson.1
elte,404,-0.00995,0.01099,-0.01999,0.04484,92,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Anderson.1
grazvienna,405,0.05376,0.00835,0.10732,0.03372,120,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Anderson.1
